task_id,erase_type,target_concepts,target_count,model,anchor_mode,anchor_concepts,subspace_anchor_concepts,subspace_anchor_count,configured_residual_rank,applied_residual_rank,target_global_residual_count,params,aug_num,threshold,retain_scale,target_n_contents,target_n_images,target_clip_score_mean,target_fid_mean,non_target_n_contents,non_target_n_images,non_target_clip_score_mean,non_target_fid_mean,mscoco_n_images,mscoco_clip_score,mscoco_fid_vs_original
van_gogh,style,Van Gogh,1,original,,,,,,,,,,,,1,30,28.71029535929362,0.0,4,120,28.088446855545044,0.0,100,26.373212575912476,0.0
van_gogh,style,Van Gogh,1,legacy,legacy,art,,,,,,V,10,0.1,1.0,1,30,25.273125966389973,237.36849101563064,4,120,28.170830408732098,42.31293314660341,100,26.40701162815094,49.08776752536386
van_gogh,style,Van Gogh,1,target_global_pairwise_residual_subspace,target_global_pairwise_residual_subspace,art,"["""", ""art"", ""abstract art"", ""painting"", ""visual art"", ""fine art"", ""traditional art"", ""contemporary art"", ""classical painting"", ""modern painting"", ""expressive painting"", ""figurative art"", ""painterly art"", ""illustrative art"", ""watercolor painting"", ""oil painting"", ""acrylic painting"", ""gouache painting"", ""ink wash painting"", ""charcoal drawing"", ""pastel drawing"", ""mixed media art"", ""digital painting"", ""textured painting"", ""bold brushwork"", ""delicate brushwork"", ""vibrant color palette"", ""muted color palette"", ""geometric composition"", ""organic composition""]",30,5,5,30,V,0,0.3,1.0,1,30,25.008185704549152,293.03872958524653,4,120,28.154385089874268,58.931895752901696,100,26.281818985939026,46.40897519509565
picasso,style,Picasso,1,original,,,,,,,,,,,,1,30,27.991472880045574,0.0,4,120,28.268152475357056,0.0,100,26.373212575912476,0.0
picasso,style,Picasso,1,legacy,legacy,art,,,,,,V,10,0.1,1.0,1,30,25.675137837727863,208.5682429151916,4,120,28.227766752243042,41.54196030746091,100,26.105235815048218,44.09653164617782
picasso,style,Picasso,1,target_global_pairwise_residual_subspace,target_global_pairwise_residual_subspace,art,"["""", ""art"", ""abstract art"", ""painting"", ""visual art"", ""fine art"", ""traditional art"", ""contemporary art"", ""classical painting"", ""modern painting"", ""expressive painting"", ""figurative art"", ""painterly art"", ""illustrative art"", ""watercolor painting"", ""oil painting"", ""acrylic painting"", ""gouache painting"", ""ink wash painting"", ""charcoal drawing"", ""pastel drawing"", ""mixed media art"", ""digital painting"", ""textured painting"", ""bold brushwork"", ""delicate brushwork"", ""vibrant color palette"", ""muted color palette"", ""geometric composition"", ""organic composition""]",30,5,5,30,V,0,0.3,1.0,1,30,25.733639399210613,241.34366898567592,4,120,28.289638360341392,45.79523952973831,100,26.057620763778687,55.74712172578319
monet,style,Monet,1,original,,,,,,,,,,,,1,30,28.726832071940105,0.0,4,120,28.084312677383423,0.0,100,26.373212575912476,0.0
monet,style,Monet,1,legacy,legacy,art,,,,,,V,10,0.1,1.0,1,30,24.16420618693034,239.66722426843236,4,120,28.107929229736328,64.09413652730697,100,25.985691785812378,50.610809272527376
monet,style,Monet,1,target_global_pairwise_residual_subspace,target_global_pairwise_residual_subspace,art,"["""", ""art"", ""abstract art"", ""painting"", ""visual art"", ""fine art"", ""traditional art"", ""contemporary art"", ""classical painting"", ""modern painting"", ""expressive painting"", ""figurative art"", ""painterly art"", ""illustrative art"", ""watercolor painting"", ""oil painting"", ""acrylic painting"", ""gouache painting"", ""ink wash painting"", ""charcoal drawing"", ""pastel drawing"", ""mixed media art"", ""digital painting"", ""textured painting"", ""bold brushwork"", ""delicate brushwork"", ""vibrant color palette"", ""muted color palette"", ""geometric composition"", ""organic composition""]",30,5,5,30,V,0,0.3,1.0,1,30,25.003382364908855,199.1425873260207,4,120,28.116643031438194,63.51620834919933,100,26.272904992103577,55.52124056137677
