task_id,erase_type,target_concepts,target_count,model,anchor_mode,anchor_concepts,subspace_anchor_concepts,subspace_anchor_count,configured_residual_rank,applied_residual_rank,target_global_residual_count,params,aug_num,threshold,retain_scale,target_n_contents,target_n_images,target_clip_score_mean,target_fid_mean,non_target_n_contents,non_target_n_images,non_target_clip_score_mean,non_target_fid_mean,mscoco_n_images,mscoco_clip_score,mscoco_fid_vs_original
van_gogh,style,Van Gogh,1,original,,,,,,,,,,,,1,30,28.71029535929362,0.0,4,120,28.088446855545044,0.0,100,26.373212575912476,0.0
van_gogh,style,Van Gogh,1,legacy,legacy,art,,,,,,V,10,0.1,1.0,1,30,25.273125966389973,237.36849101563064,4,120,28.170830408732098,42.31293314660341,100,26.40701162815094,49.08776752536386
van_gogh,style,Van Gogh,1,target_global_pairwise_residual_subspace,target_global_pairwise_residual_subspace,art,"[""art"", ""art style"", ""painting style"", ""visual art style"", ""fine art style"", ""traditional art style"", ""contemporary art style"", ""classical painting style"", ""modern painting style"", ""expressive painting style"", ""abstract art style"", ""figurative art style"", ""painterly art style"", ""illustrative art style"", ""impressionistic painting style"", ""post-impressionistic painting style"", ""expressionist painting style"", ""realist painting style"", ""romantic painting style"", ""minimalist art style"", ""maximalist art style"", ""textured painting style"", ""bold brushwork style"", ""delicate brushwork style"", ""vibrant color palette style"", ""muted color palette style"", ""high contrast painting style"", ""soft tonal painting style"", ""geometric composition style"", ""organic composition style""]",30,30,30,30,V,0,0.3,1.0,1,30,29.3271001180013,171.08638866682585,4,120,27.733800411224365,128.68363758214292,100,26.476508378982544,50.16096373291788
picasso,style,Picasso,1,original,,,,,,,,,,,,1,30,27.991472880045574,0.0,4,120,28.268152475357056,0.0,100,26.373212575912476,0.0
picasso,style,Picasso,1,legacy,legacy,art,,,,,,V,10,0.1,1.0,1,30,25.675137837727863,208.5682429151916,4,120,28.227766752243042,41.54196030746091,100,26.105235815048218,44.09653164617782
picasso,style,Picasso,1,target_global_pairwise_residual_subspace,target_global_pairwise_residual_subspace,art,"[""art"", ""art style"", ""painting style"", ""visual art style"", ""fine art style"", ""traditional art style"", ""contemporary art style"", ""classical painting style"", ""modern painting style"", ""expressive painting style"", ""abstract art style"", ""figurative art style"", ""painterly art style"", ""illustrative art style"", ""impressionistic painting style"", ""post-impressionistic painting style"", ""expressionist painting style"", ""realist painting style"", ""romantic painting style"", ""minimalist art style"", ""maximalist art style"", ""textured painting style"", ""bold brushwork style"", ""delicate brushwork style"", ""vibrant color palette style"", ""muted color palette style"", ""high contrast painting style"", ""soft tonal painting style"", ""geometric composition style"", ""organic composition style""]",30,30,30,30,V,0,0.3,1.0,1,30,26.46950085957845,212.45497530031892,4,120,28.365037441253662,113.89570892415267,100,26.505333185195923,52.64003872876549
monet,style,Monet,1,original,,,,,,,,,,,,1,30,28.726832071940105,0.0,4,120,28.084312677383423,0.0,100,26.373212575912476,0.0
monet,style,Monet,1,legacy,legacy,art,,,,,,V,10,0.1,1.0,1,30,24.16420618693034,239.66722426843236,4,120,28.107929229736328,64.09413652730697,100,25.985691785812378,50.610809272527376
monet,style,Monet,1,target_global_pairwise_residual_subspace,target_global_pairwise_residual_subspace,art,"[""art"", ""art style"", ""painting style"", ""visual art style"", ""fine art style"", ""traditional art style"", ""contemporary art style"", ""classical painting style"", ""modern painting style"", ""expressive painting style"", ""abstract art style"", ""figurative art style"", ""painterly art style"", ""illustrative art style"", ""impressionistic painting style"", ""post-impressionistic painting style"", ""expressionist painting style"", ""realist painting style"", ""romantic painting style"", ""minimalist art style"", ""maximalist art style"", ""textured painting style"", ""bold brushwork style"", ""delicate brushwork style"", ""vibrant color palette style"", ""muted color palette style"", ""high contrast painting style"", ""soft tonal painting style"", ""geometric composition style"", ""organic composition style""]",30,30,30,30,V,0,0.3,1.0,1,30,27.172101338704426,156.98491056004752,4,120,27.657228310902912,145.63444546032534,100,26.14744281768799,58.31876831373904
