target_index,target_concept,layer_index,layer_name,embedding_cosine,embedding_angle_degrees,target_embedding_norm,shifted_embedding_norm,residual_norm,relative_embedding_residual_norm,output_cosine,output_angle_degrees,target_output_norm,shifted_output_norm,output_residual_norm,relative_output_residual_norm
0,Adam Driver,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight,-0.0796293169260025,94.5672607421875,28.008241653442383,21.244125366210938,36.476497650146484,1.3023487329483032,0.44764745235443115,63.40715408325195,12.698662757873535,9.704303741455078,12.045780181884766,0.9485865235328674
1,Adriana Lima,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight,-0.10574676096439362,96.0701904296875,27.91423225402832,21.777284622192383,37.175533294677734,1.3317769765853882,0.39565014839172363,66.69347381591797,10.984909057617188,10.919862747192383,12.04127311706543,1.0961650609970093
2,Amber Heard,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight,-0.04170729219913483,92.39034271240234,27.690156936645508,20.734241485595703,35.278106689453125,1.2740305662155151,0.4978102445602417,60.14476776123047,11.934713363647461,9.858771324157715,11.067359924316406,0.9273251295089722
3,Amy Adams,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight,-0.08333494514226913,94.78028106689453,27.934131622314453,21.34515953063965,36.541893005371094,1.3081449270248413,0.47396230697631836,61.70819091796875,11.456710815429688,10.225506782531738,11.16992473602295,0.9749678373336792
4,Andrew Garfield,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight,-0.0915711373090744,95.2540054321289,27.900615692138672,21.51305389404297,36.75843811035156,1.3174777030944824,0.4039439558982849,66.17503356933594,13.045327186584473,9.737129211425781,12.7424898147583,0.9767857789993286
0,Adam Driver,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,-0.0796293169260025,94.5672607421875,28.008241653442383,21.244125366210938,36.476497650146484,1.3023487329483032,0.7556336522102356,40.91923522949219,10.786402702331543,9.595829963684082,7.211345672607422,0.6685588955879211
1,Adriana Lima,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,-0.10574676096439362,96.0701904296875,27.91423225402832,21.777284622192383,37.175533294677734,1.3317769765853882,0.6377679109573364,50.374420166015625,10.032246589660645,10.56275749206543,8.777905464172363,0.8749690651893616
2,Amber Heard,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,-0.04170729219913483,92.39034271240234,27.690156936645508,20.734241485595703,35.278106689453125,1.2740305662155151,0.6554122567176819,49.0490837097168,10.938182830810547,9.955612182617188,8.718606948852539,0.7970800399780273
3,Amy Adams,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,-0.08333494514226913,94.78028106689453,27.934131622314453,21.34515953063965,36.541893005371094,1.3081449270248413,0.6332217454910278,50.7117805480957,10.495426177978516,10.302088737487793,8.908031463623047,0.8487536907196045
4,Andrew Garfield,1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,-0.0915711373090744,95.2540054321289,27.900615692138672,21.51305389404297,36.75843811035156,1.3174777030944824,0.6818950176239014,47.00809860229492,11.461128234863281,9.524576187133789,8.55572509765625,0.7464993596076965
