layer_index,layer_name,count,embedding_cosine_mean,embedding_cosine_min,embedding_cosine_max,embedding_cosine_std,embedding_angle_degrees_mean,embedding_angle_degrees_min,embedding_angle_degrees_max,embedding_angle_degrees_std,residual_norm_mean,residual_norm_min,residual_norm_max,residual_norm_std,relative_embedding_residual_norm_mean,relative_embedding_residual_norm_min,relative_embedding_residual_norm_max,relative_embedding_residual_norm_std,output_cosine_mean,output_cosine_min,output_cosine_max,output_cosine_std,output_angle_degrees_mean,output_angle_degrees_min,output_angle_degrees_max,output_angle_degrees_std,output_residual_norm_mean,output_residual_norm_min,output_residual_norm_max,output_residual_norm_std,relative_output_residual_norm_mean,relative_output_residual_norm_min,relative_output_residual_norm_max,relative_output_residual_norm_std
0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight,5,-0.08039789050817489,-0.10574676096439362,-0.04170729219913483,0.021324099372617505,94.61241607666015,92.39034271240234,96.0701904296875,1.2251180074357615,36.44609375,35.278106689453125,37.175533294677734,0.6330776756231087,1.306755781173706,1.2740305662155151,1.3317769765853882,0.01914842721385421,0.44380282163619994,0.39565014839172363,0.4978102445602417,0.03936644914324668,63.62572402954102,60.14476776123047,66.69347381591797,2.5199932729589793,11.81336555480957,11.067359924316406,12.7424898147583,0.6228596622427057,0.9847660660743713,0.9273251295089722,1.0961650609970093,0.05861373018338218
1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,5,-0.08039789050817489,-0.10574676096439362,-0.04170729219913483,0.021324099372617505,94.61241607666015,92.39034271240234,96.0701904296875,1.2251180074357615,36.44609375,35.278106689453125,37.175533294677734,0.6330776756231087,1.306755781173706,1.2740305662155151,1.3317769765853882,0.01914842721385421,0.6727861166000366,0.6332217454910278,0.7556336522102356,0.0448110509348827,47.61252365112305,40.91923522949219,50.7117805480957,3.590615824873049,8.434322929382324,7.211345672607422,8.908031463623047,0.6218806950535866,0.7871722102165222,0.6685588955879211,0.8749690651893616,0.07392175695759351
2,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v.weight,5,-0.08039789050817489,-0.10574676096439362,-0.04170729219913483,0.021324099372617505,94.61241607666015,92.39034271240234,96.0701904296875,1.2251180074357615,36.44609375,35.278106689453125,37.175533294677734,0.6330776756231087,1.306755781173706,1.2740305662155151,1.3317769765853882,0.01914842721385421,0.24087859690189362,0.18319542706012726,0.3376735746860504,0.05821062421887567,76.03429412841797,70.26480102539062,79.44406127929688,3.4576714353124465,18.59353713989258,17.08394432067871,19.919397354125977,1.082543520982352,1.128196930885315,1.032724142074585,1.1829229593276978,0.05127923184511745
3,down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v.weight,5,-0.08039789050817489,-0.10574676096439362,-0.04170729219913483,0.021324099372617505,94.61241607666015,92.39034271240234,96.0701904296875,1.2251180074357615,36.44609375,35.278106689453125,37.175533294677734,0.6330776756231087,1.306755781173706,1.2740305662155151,1.3317769765853882,0.01914842721385421,0.38887159824371337,0.3693918287754059,0.4227477014064789,0.018395946442094392,67.11075744628906,64.9918212890625,68.32188415527344,1.1489612981528474,15.899515724182129,15.471227645874023,16.461437225341797,0.3285911898036568,1.0207919239997865,0.9745266437530518,1.0943199396133423,0.042837113257873906
4,down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v.weight,5,-0.08039789050817489,-0.10574676096439362,-0.04170729219913483,0.021324099372617505,94.61241607666015,92.39034271240234,96.0701904296875,1.2251180074357615,36.44609375,35.278106689453125,37.175533294677734,0.6330776756231087,1.306755781173706,1.2740305662155151,1.3317769765853882,0.01914842721385421,-0.20256402492523193,-0.24203082919120789,-0.1346408873796463,0.037048097201901505,101.69490509033203,97.73785400390625,104.00643157958984,2.1612954103461552,35.68030014038086,33.786888122558594,37.20524978637695,1.1573696266556983,1.3270322561264039,1.2707122564315796,1.347747564315796,0.028699440868657944
5,down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v.weight,5,-0.08039789050817489,-0.10574676096439362,-0.04170729219913483,0.021324099372617505,94.61241607666015,92.39034271240234,96.0701904296875,1.2251180074357615,36.44609375,35.278106689453125,37.175533294677734,0.6330776756231087,1.306755781173706,1.2740305662155151,1.3317769765853882,0.01914842721385421,-0.20474610328674317,-0.27557504177093506,-0.14502890408039093,0.04249776078520383,101.82628631591797,98.33895111083984,105.99628448486328,2.493755742110106,36.927799224853516,35.50154495239258,39.809608459472656,1.4986115528658315,1.3338191747665404,1.2679212093353271,1.3778432607650757,0.037720368998516475
6,up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v.weight,5,-0.08039789050817489,-0.10574676096439362,-0.04170729219913483,0.021324099372617505,94.61241607666015,92.39034271240234,96.0701904296875,1.2251180074357615,36.44609375,35.278106689453125,37.175533294677734,0.6330776756231087,1.306755781173706,1.2740305662155151,1.3317769765853882,0.01914842721385421,-0.3322601854801178,-0.3811318874359131,-0.2891453802585602,0.033307054908033935,109.41877593994141,106.80680084228516,112.40380859375,2.027510685788055,47.12256546020508,45.83692169189453,49.91465759277344,1.4598317209731229,1.3839280128479003,1.3296345472335815,1.4594310522079468,0.04337583240372287
7,up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v.weight,5,-0.08039789050817489,-0.10574676096439362,-0.04170729219913483,0.021324099372617505,94.61241607666015,92.39034271240234,96.0701904296875,1.2251180074357615,36.44609375,35.278106689453125,37.175533294677734,0.6330776756231087,1.306755781173706,1.2740305662155151,1.3317769765853882,0.01914842721385421,-0.4001471519470215,-0.45539239048957825,-0.3667452931404114,0.03341715683419697,113.60452117919922,111.51502990722656,117.09017944335938,2.101374777923683,55.96519317626953,53.378665924072266,59.67110061645508,2.1262406376891265,1.4281616926193237,1.3489493131637573,1.494306206703186,0.04817831578539198
8,up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v.weight,5,-0.08039789050817489,-0.10574676096439362,-0.04170729219913483,0.021324099372617505,94.61241607666015,92.39034271240234,96.0701904296875,1.2251180074357615,36.44609375,35.278106689453125,37.175533294677734,0.6330776756231087,1.306755781173706,1.2740305662155151,1.3317769765853882,0.01914842721385421,-0.31819855570793154,-0.39029860496520996,-0.2772957682609558,0.0403937480560262,108.57235260009766,106.098876953125,112.97307586669922,2.4579941842667914,49.37791442871094,47.23355484008789,53.19889450073242,2.3413834946573022,1.3947222471237182,1.3555105924606323,1.4398159980773926,0.036052024285649964
9,up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v.weight,5,-0.08039789050817489,-0.10574676096439362,-0.04170729219913483,0.021324099372617505,94.61241607666015,92.39034271240234,96.0701904296875,1.2251180074357615,36.44609375,35.278106689453125,37.175533294677734,0.6330776756231087,1.306755781173706,1.2740305662155151,1.3317769765853882,0.01914842721385421,-0.11944827884435653,-0.14745870232582092,-0.0772024542093277,0.024892382084383564,96.86234588623047,94.42778015136719,98.47968292236328,1.4356504156893657,49.50771484375,46.98503112792969,51.74178695678711,1.6003433562710525,1.3389403343200683,1.3065941333770752,1.3680989742279053,0.023876598008275886
