layer_index,layer_name,count,embedding_cosine_mean,embedding_cosine_min,embedding_cosine_max,embedding_cosine_std,embedding_angle_degrees_mean,embedding_angle_degrees_min,embedding_angle_degrees_max,embedding_angle_degrees_std,residual_norm_mean,residual_norm_min,residual_norm_max,residual_norm_std,relative_embedding_residual_norm_mean,relative_embedding_residual_norm_min,relative_embedding_residual_norm_max,relative_embedding_residual_norm_std,output_cosine_mean,output_cosine_min,output_cosine_max,output_cosine_std,output_angle_degrees_mean,output_angle_degrees_min,output_angle_degrees_max,output_angle_degrees_std,output_residual_norm_mean,output_residual_norm_min,output_residual_norm_max,output_residual_norm_std,relative_output_residual_norm_mean,relative_output_residual_norm_min,relative_output_residual_norm_max,relative_output_residual_norm_std
0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight,50,0.011312030509870966,-0.1313060224056244,0.10442433506250381,0.05436827193523008,89.35186340332031,84.00599670410156,97.5450668334961,3.119400067236703,36.4910619354248,34.57481384277344,38.04460525512695,0.9289956372424116,1.2876834535598756,1.2345432043075562,1.3437399864196777,0.028110186716142255,0.4778475695848465,0.32936936616897583,0.6009433269500732,0.06349436716806915,61.37298515319824,53.0625114440918,70.76949310302734,4.153299893309628,11.954141063690185,10.243650436401367,13.727890968322754,0.8754695626689158,0.9624285018444061,0.8425920605659485,1.1226201057434082,0.06246574417022108
1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,50,0.011312030509870966,-0.1313060224056244,0.10442433506250381,0.05436827193523008,89.35186340332031,84.00599670410156,97.5450668334961,3.119400067236703,36.4910619354248,34.57481384277344,38.04460525512695,0.9289956372424116,1.2876834535598756,1.2345432043075562,1.3437399864196777,0.028110186716142255,0.7123141419887543,0.6099355220794678,0.7955181002616882,0.05062929198597135,44.425823287963865,37.295780181884766,52.415157318115234,4.125714401761756,8.134529705047607,6.756453990936279,10.030399322509766,0.709021010642544,0.7343981242179871,0.6133715510368347,0.8810604810714722,0.07048050026286634
2,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v.weight,50,0.011312030509870966,-0.1313060224056244,0.10442433506250381,0.05436827193523008,89.35186340332031,84.00599670410156,97.5450668334961,3.119400067236703,36.4910619354248,34.57481384277344,38.04460525512695,0.9289956372424116,1.2876834535598756,1.2345432043075562,1.3437399864196777,0.028110186716142255,0.3478378078341484,0.1911538541316986,0.4426058530807495,0.059280430723132896,69.6038264465332,63.729736328125,78.97986602783203,3.6094237249799788,18.374879302978517,15.891260147094727,21.636886596679688,1.1793682192429005,1.0795422768592835,0.9777858257293701,1.224958062171936,0.05406404252309293
3,down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v.weight,50,0.011312030509870966,-0.1313060224056244,0.10442433506250381,0.05436827193523008,89.35186340332031,84.00599670410156,97.5450668334961,3.119400067236703,36.4910619354248,34.57481384277344,38.04460525512695,0.9289956372424116,1.2876834535598756,1.2345432043075562,1.3437399864196777,0.028110186716142255,0.4696616017818451,0.37960779666900635,0.5797531008720398,0.04836886582528371,61.94087142944336,54.56682205200195,67.69061279296875,3.15739649762772,15.392738819122314,13.791547775268555,17.62259864807129,0.8095620712039183,0.9671420538425446,0.8655349612236023,1.1012976169586182,0.05063195362935068
4,down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v.weight,50,0.011312030509870966,-0.1313060224056244,0.10442433506250381,0.05436827193523008,89.35186340332031,84.00599670410156,97.5450668334961,3.119400067236703,36.4910619354248,34.57481384277344,38.04460525512695,0.9289956372424116,1.2876834535598756,1.2345432043075562,1.3437399864196777,0.028110186716142255,0.002027905946597457,-0.18758487701416016,0.18171848356723785,0.06980589769400326,89.88343688964844,79.5301284790039,100.81187438964844,4.012321197749346,35.818926124572755,30.72512435913086,39.4136962890625,1.7053175603784432,1.3000505566596985,1.1581262350082397,1.376065731048584,0.042680862347312054
5,down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v.weight,50,0.011312030509870966,-0.1313060224056244,0.10442433506250381,0.05436827193523008,89.35186340332031,84.00599670410156,97.5450668334961,3.119400067236703,36.4910619354248,34.57481384277344,38.04460525512695,0.9289956372424116,1.2876834535598756,1.2345432043075562,1.3437399864196777,0.028110186716142255,-0.013408581784460694,-0.21860937774181366,0.1924874633550644,0.07795237294463925,90.7708723449707,78.90201568603516,102.62737274169922,4.4849074256157495,37.01581516265869,30.9769344329834,40.79884719848633,2.059773599585993,1.310182855129242,1.169510841369629,1.3906601667404175,0.048106840391438255
6,up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v.weight,50,0.011312030509870966,-0.1313060224056244,0.10442433506250381,0.05436827193523008,89.35186340332031,84.00599670410156,97.5450668334961,3.119400067236703,36.4910619354248,34.57481384277344,38.04460525512695,0.9289956372424116,1.2876834535598756,1.2345432043075562,1.3437399864196777,0.028110186716142255,-0.10342550843892241,-0.31200945377349854,0.09760565310716629,0.08156081709406636,95.9574105834961,84.39868927001953,108.18037414550781,4.719526142045689,47.23926933288574,39.711891174316406,54.87803268432617,2.7561458350270884,1.3612254667282104,1.211648941040039,1.5005531311035156,0.05044616817105407
7,up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v.weight,50,0.011312030509870966,-0.1313060224056244,0.10442433506250381,0.05436827193523008,89.35186340332031,84.00599670410156,97.5450668334961,3.119400067236703,36.4910619354248,34.57481384277344,38.04460525512695,0.9289956372424116,1.2876834535598756,1.2345432043075562,1.3437399864196777,0.028110186716142255,-0.1901794534921646,-0.38150352239608765,0.06358086317777634,0.08965061079964765,101.00753128051758,86.35462951660156,112.42684936523438,5.246874905002658,56.29492851257324,46.82405471801758,63.31682205200195,3.1316205381839346,1.422873911857605,1.24301016330719,1.5421417951583862,0.05798233659821178
8,up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v.weight,50,0.011312030509870966,-0.1313060224056244,0.10442433506250381,0.05436827193523008,89.35186340332031,84.00599670410156,97.5450668334961,3.119400067236703,36.4910619354248,34.57481384277344,38.04460525512695,0.9289956372424116,1.2876834535598756,1.2345432043075562,1.3437399864196777,0.028110186716142255,-0.10175421717111022,-0.28219324350357056,0.07808937132358551,0.08315203465363152,95.86155670166016,85.52124786376953,106.39115142822266,4.808247606170743,49.37252700805664,41.696773529052734,56.973323822021484,2.759447524396708,1.371517686843872,1.2241090536117554,1.4997323751449585,0.05209246560761455
9,up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v.weight,50,0.011312030509870966,-0.1313060224056244,0.10442433506250381,0.05436827193523008,89.35186340332031,84.00599670410156,97.5450668334961,3.119400067236703,36.4910619354248,34.57481384277344,38.04460525512695,0.9289956372424116,1.2876834535598756,1.2345432043075562,1.3437399864196777,0.028110186716142255,0.009614771343767642,-0.16204583644866943,0.21897348761558533,0.08813172869903937,89.44554382324219,77.35124969482422,99.3256607055664,5.066696762159976,48.01276527404785,39.20281982421875,53.703311920166016,2.794139664245187,1.3018735837936402,1.1113409996032715,1.4637670516967773,0.0674423260834483
