target_index,target_concept,layer_index,layer_name,embedding_cosine,embedding_angle_degrees,target_embedding_norm,shifted_embedding_norm,residual_norm,relative_embedding_residual_norm,output_cosine,output_angle_degrees,target_output_norm,shifted_output_norm,output_residual_norm,relative_output_residual_norm
0,Adam Driver,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight,0.005314919166266918,89.69548034667969,28.008241653442383,23.517545700073242,36.476497650146484,1.3023487329483032,0.4472024142742157,63.4356689453125,12.698660850524902,10.16077995300293,12.210402488708496,0.9615504145622253
1,Adriana Lima,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight,-0.04475577175617218,92.56517791748047,27.914234161376953,23.334749221801758,37.17552947998047,1.3317768573760986,0.37386709451675415,68.04569244384766,10.98491096496582,11.054821968078613,12.33188247680664,1.1226201057434082
2,Amber Heard,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight,0.034660592675209045,88.0136947631836,27.69015884399414,22.839452743530273,35.278106689453125,1.2740304470062256,0.45744916796684265,62.77737045288086,11.934714317321777,10.09770393371582,11.582040786743164,0.9704497456550598
3,Amy Adams,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight,-0.015378149226307869,90.88114166259766,27.93412971496582,23.132652282714844,36.54188537597656,1.3081448078155518,0.47435614466667175,61.68256378173828,11.456709861755371,10.992765426635742,11.515875816345215,1.0051642656326294
4,Andrew Garfield,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight,0.01132864598184824,89.35090637207031,27.900615692138672,24.250118255615234,36.7584342956543,1.3174775838851929,0.4342624545097351,64.26162719726562,13.045324325561523,10.556122779846191,12.728289604187012,0.9756974577903748
5,Angelina Jolie,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight,0.054802607744932175,86.85847473144531,28.37268829345703,23.560564041137695,35.8725700378418,1.2643345594406128,0.6009433269500732,53.0625114440918,13.150802612304688,11.40934944152832,11.080761909484863,0.8425920605659485
6,Anjelica Huston,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight,0.048859938979148865,87.19941711425781,27.875823974609375,23.413700103759766,35.51736831665039,1.2741279602050781,0.4130960702896118,65.60052490234375,11.89107894897461,10.3923921585083,12.136778831481934,1.020662546157837
7,Anna Faris,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight,0.040542617440223694,87.67644500732422,27.668066024780273,23.263093948364258,35.418968200683594,1.2801389694213867,0.49193304777145386,60.53228759765625,11.487137794494629,11.1607084274292,11.418389320373535,0.9940151572227478
8,Anna Kendrick,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight,0.04333458095788956,87.5163345336914,28.461196899414062,24.364511489868164,36.654727935791016,1.28788423538208,0.5693085789680481,55.297977447509766,11.439868927001953,11.653555870056152,10.718256950378418,0.9369212985038757
9,Anne Hathaway,0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight,0.02429751493036747,88.60771942138672,28.212099075317383,24.090578079223633,36.650390625,1.2991018295288086,0.5168741941452026,58.8771858215332,12.250544548034668,11.363483428955078,11.631753921508789,0.9494886994361877
