target_index,target_concept,count,embedding_cosine_mean,embedding_cosine_min,embedding_cosine_max,embedding_cosine_std,embedding_angle_degrees_mean,embedding_angle_degrees_min,embedding_angle_degrees_max,embedding_angle_degrees_std,residual_norm_mean,residual_norm_min,residual_norm_max,residual_norm_std,relative_embedding_residual_norm_mean,relative_embedding_residual_norm_min,relative_embedding_residual_norm_max,relative_embedding_residual_norm_std,output_cosine_mean,output_cosine_min,output_cosine_max,output_cosine_std,output_angle_degrees_mean,output_angle_degrees_min,output_angle_degrees_max,output_angle_degrees_std,output_residual_norm_mean,output_residual_norm_min,output_residual_norm_max,output_residual_norm_std,relative_output_residual_norm_mean,relative_output_residual_norm_min,relative_output_residual_norm_max,relative_output_residual_norm_std
0,Adam Driver,16,0.005314919166266918,0.005314919166266918,0.005314919166266918,0.0,89.69548034667969,89.69548034667969,89.69548034667969,0.0,36.476497650146484,36.476497650146484,36.476497650146484,0.0,1.3023487329483032,1.3023487329483032,1.3023487329483032,0.0,0.2401379622751847,-0.2801624834537506,0.810018002986908,0.37648005174903465,74.48404383659363,35.90230941772461,106.26990509033203,24.05123513413661,28.768211603164673,5.881913185119629,57.6051139831543,17.442139382206317,1.1243348307907581,0.5884100794792175,1.5421417951583862,0.3309534409306717
1,Adriana Lima,16,-0.04475577175617218,-0.04475577175617218,-0.04475577175617218,0.0,92.56517791748047,92.56517791748047,92.56517791748047,0.0,37.17552947998047,37.17552947998047,37.17552947998047,0.0,1.3317768573760986,1.3317768573760986,1.3317768573760986,0.0,0.17523177177645266,-0.23075956106185913,0.7210416793823242,0.3322592425670487,79.0588481426239,43.85944747924805,103.341796875,20.359583821360225,29.738194584846497,7.311358451843262,56.39482116699219,17.009040221407393,1.203499659895897,0.7611465454101562,1.4610544443130493,0.2314315294970492
2,Amber Heard,16,0.034660592675209045,0.034660592675209045,0.034660592675209045,0.0,88.0136947631836,88.0136947631836,88.0136947631836,0.0,35.278106689453125,35.278106689453125,35.278106689453125,0.0,1.2740304470062256,1.2740304470062256,1.2740304470062256,0.0,0.2556364344782196,-0.162849560379982,0.7138912081718445,0.30798748057889774,74.22822713851929,44.44759750366211,99.3723373413086,19.067199781794724,28.427892327308655,7.057440757751465,56.839683532714844,16.85780535203121,1.09038270637393,0.7225670218467712,1.359533429145813,0.23047956698537042
3,Amy Adams,16,-0.015378149226307869,-0.015378149226307869,-0.015378149226307869,0.0,90.88114166259766,90.88114166259766,90.88114166259766,0.0,36.54188537597656,36.54188537597656,36.54188537597656,0.0,1.3081448078155518,1.3081448078155518,1.3081448078155518,0.0,0.2240719785913825,-0.21451710164546967,0.7298616766929626,0.3344561016074752,76.02154874801636,43.12519836425781,102.38719940185547,20.678398329414446,29.01586803793907,7.698099613189697,54.43630599975586,16.647885628024596,1.1506672538816929,0.742849588394165,1.45691978931427,0.23274722779939866
4,Andrew Garfield,16,0.01132864598184824,0.01132864598184824,0.01132864598184824,0.0,89.35090637207031,89.35090637207031,89.35090637207031,0.0,36.7584342956543,36.7584342956543,36.7584342956543,0.0,1.3174775838851929,1.3174775838851929,1.3174775838851929,0.0,0.24560694156389218,-0.12769290804862976,0.7158111929893494,0.2990058201953149,74.8928816318512,44.290283203125,97.33629608154297,18.486818289562585,29.80555695295334,8.193390846252441,57.52001953125,16.937754368725983,1.1151346638798714,0.700947642326355,1.4029357433319092,0.2420488363679396
5,Angelina Jolie,16,0.054802607744932175,0.054802607744932175,0.054802607744932175,0.0,86.85847473144531,86.85847473144531,86.85847473144531,0.0,35.8725700378418,35.8725700378418,35.8725700378418,0.0,1.2643345594406128,1.2643345594406128,1.2643345594406128,0.0,0.32705534086562693,-0.1551065295934677,0.7935078740119934,0.3242616363979248,69.45858645439148,37.48545455932617,98.9229736328125,20.739773800023293,28.157560735940933,7.299478054046631,55.99297332763672,16.598007901899585,1.0449342839419842,0.6199637651443481,1.4092156887054443,0.2624902691281334
6,Anjelica Huston,16,0.048859938979148865,0.048859938979148865,0.048859938979148865,0.0,87.19941711425781,87.19941711425781,87.19941711425781,0.0,35.51736831665039,35.51736831665039,35.51736831665039,0.0,1.2741279602050781,1.2741279602050781,1.2741279602050781,0.0,0.2749309746286599,-0.16088761389255524,0.7835668921470642,0.320012429984409,72.8725106716156,38.41167449951172,99.2584228515625,20.107892247678606,27.275323659181595,6.756453990936279,54.13581848144531,16.07998380911703,1.1169948875904083,0.6452613472938538,1.4316028356552124,0.25731940226329075
7,Anna Faris,16,0.040542617440223694,0.040542617440223694,0.040542617440223694,0.0,87.67644500732422,87.67644500732422,87.67644500732422,0.0,35.418968200683594,35.418968200683594,35.418968200683594,0.0,1.2801389694213867,1.2801389694213867,1.2801389694213867,0.0,0.2954592170426622,-0.105570487678051,0.7561496496200562,0.31517582207105793,71.55485701560974,40.87407684326172,96.0600357055664,19.989003001485454,27.33184564113617,6.893573760986328,49.57615280151367,15.713805846577532,1.1156285889446735,0.7399332523345947,1.4205631017684937,0.21466474612141637
8,Anna Kendrick,16,0.04333458095788956,0.04333458095788956,0.04333458095788956,0.0,87.5163345336914,87.5163345336914,87.5163345336914,0.0,36.654727935791016,36.654727935791016,36.654727935791016,0.0,1.28788423538208,1.28788423538208,1.28788423538208,0.0,0.3228557795538336,-0.11133110523223877,0.7819861173629761,0.31909456045862594,69.74669742584229,38.55721664428711,96.39205932617188,20.431170016098264,27.454729914665222,6.930240631103516,52.138187408447266,16.005557936906715,1.0944276042282581,0.683891773223877,1.4202213287353516,0.25672981382285137
9,Anne Hathaway,16,0.02429751493036747,0.02429751493036747,0.02429751493036747,0.0,88.60771942138672,88.60771942138672,88.60771942138672,0.0,36.650390625,36.650390625,36.650390625,0.0,1.2991018295288086,1.2991018295288086,1.2991018295288086,0.0,0.299584191176109,-0.19693604111671448,0.7905606031417847,0.3330666738820929,71.13074851036072,37.76206588745117,101.35784149169922,21.24051790324648,28.05254927277565,7.113377571105957,55.653656005859375,16.477929847382534,1.1064029596745968,0.629328727722168,1.4780350923538208,0.2798179653074406
