task_id,erase_type,target_concepts,target_count,model,anchor_mode,anchor_concepts,subspace_anchor_concepts,subspace_anchor_count,configured_residual_rank,applied_residual_rank,target_global_residual_count,params,aug_num,threshold,retain_scale,target_n_contents,target_n_images,target_clip_score_mean,target_fid_mean,non_target_n_contents,non_target_n_images,non_target_clip_score_mean,non_target_fid_mean,mscoco_n_images,mscoco_clip_score,mscoco_fid_vs_original
snoopy,instance,Snoopy,1,original,,,,,,,,,,,,1,80,28.7814199924469,0.0,4,320,27.477685809135437,0.0,100,26.373212575912476,0.0
snoopy,instance,Snoopy,1,legacy,legacy,,,,,,,V,10,0.1,1.0,1,80,24.07454252243042,197.97187075159866,4,320,27.589947134256363,61.1659595559351,100,26.15608286857605,46.41309172891681
snoopy,instance,Snoopy,1,target_global_pairwise_residual_subspace,target_global_pairwise_residual_subspace,,"[""Cheerful Cartoon Mouse"", ""Playful Cartoon Dog"", ""Goofy Sea Creature"", ""Cute Electric Fantasy Creature"", ""Minimalist Cute Cat"", ""Friendly Woodland Mascot"", ""Retro Animal Cartoon"", ""Kawaii Fantasy Mascot"", ""Funny Everyday Hero"", ""Universal Cute Mascot""]",10,30,10,10,V,0,0.1,1.0,1,80,19.860050976276398,202.95801963267155,4,320,27.47508391737938,81.50378457152743,100,26.11941707134247,74.42719958300825
snoopy_mickey,instance,"Snoopy, Mickey",2,original,,,,,,,,,,,,2,160,27.59908616542816,0.0,3,240,27.83133029937744,0.0,100,26.373212575912476,0.0
snoopy_mickey,instance,"Snoopy, Mickey",2,legacy,legacy,,,,,,,V,10,0.1,1.0,2,160,23.523345589637756,177.77173104979084,3,240,27.856440941492718,74.45559392261625,100,26.141086101531982,58.25596295037013
snoopy_mickey,instance,"Snoopy, Mickey",2,target_global_pairwise_residual_subspace,target_global_pairwise_residual_subspace,,"[""Cheerful Cartoon Mouse"", ""Playful Cartoon Dog"", ""Goofy Sea Creature"", ""Cute Electric Fantasy Creature"", ""Minimalist Cute Cat"", ""Friendly Woodland Mascot"", ""Retro Animal Cartoon"", ""Kawaii Fantasy Mascot"", ""Funny Everyday Hero"", ""Universal Cute Mascot""]",10,30,11,22,V,0,0.1,1.0,2,160,20.160302817821503,195.5520954586816,3,240,27.870498100916546,90.11183562207948,100,26.131821393966675,85.21692075731022
snoopy_mickey_spongebob,instance,"Snoopy, Mickey, Spongebob",3,original,,,,,,,,,,,,3,240,27.60757525761922,0.0,2,160,27.93471872806549,0.0,100,26.373212575912476,0.0
snoopy_mickey_spongebob,instance,"Snoopy, Mickey, Spongebob",3,legacy,legacy,,,,,,,V,10,0.1,1.0,3,240,23.137757281462353,185.64663178087744,2,160,27.95026123523712,60.86856964620786,100,26.169833660125732,62.52355835998105
snoopy_mickey_spongebob,instance,"Snoopy, Mickey, Spongebob",3,target_global_pairwise_residual_subspace,target_global_pairwise_residual_subspace,,"[""Cheerful Cartoon Mouse"", ""Playful Cartoon Dog"", ""Goofy Sea Creature"", ""Cute Electric Fantasy Creature"", ""Minimalist Cute Cat"", ""Friendly Woodland Mascot"", ""Retro Animal Cartoon"", ""Kawaii Fantasy Mascot"", ""Funny Everyday Hero"", ""Universal Cute Mascot""]",10,30,12,36,V,0,0.1,1.0,3,240,19.70732222000758,204.45656011614633,2,160,27.984498143196106,88.21443446095068,100,26.196409940719604,97.90983425645055
