task_id,erase_type,target_concepts,target_count,model,anchor_mode,anchor_concepts,subspace_anchor_concepts,subspace_anchor_count,configured_residual_rank,applied_residual_rank,target_global_residual_count,params,aug_num,threshold,retain_scale,target_n_contents,target_n_images,target_clip_score_mean,target_fid_mean,non_target_n_contents,non_target_n_images,non_target_clip_score_mean,non_target_fid_mean,mscoco_n_images,mscoco_clip_score,mscoco_fid_vs_original
van_gogh,style,Van Gogh,1,original,,,,,,,,,,,,1,30,28.71029535929362,0.0,4,120,28.088446855545044,0.0,100,26.373212575912476,0.0
van_gogh,style,Van Gogh,1,legacy,legacy,art,,,,,,V,10,0.1,1.0,1,30,25.273125966389973,237.36849101563064,4,120,28.170830408732098,42.31293314660341,100,26.40701162815094,49.08776752536386
van_gogh,style,Van Gogh,1,target_global_pairwise_residual_subspace,target_global_pairwise_residual_subspace,art,"[""art"", ""art style"", ""painting style"", ""visual art style"", ""fine art style"", ""traditional art style"", ""contemporary art style"", ""classical painting style"", ""modern painting style"", ""expressive painting style"", ""abstract art style"", ""figurative art style"", ""painterly art style"", ""illustrative art style"", ""impressionistic painting style"", ""post-impressionistic painting style"", ""expressionist painting style"", ""realist painting style"", ""romantic painting style"", ""minimalist art style"", ""maximalist art style"", ""textured painting style"", ""bold brushwork style"", ""delicate brushwork style"", ""vibrant color palette style"", ""muted color palette style"", ""high contrast painting style"", ""soft tonal painting style"", ""geometric composition style"", ""organic composition style"", ""watercolor wash style"", ""oil paint texture style"", ""acrylic painting style"", ""gouache painting style"", ""ink wash painting style"", ""charcoal drawing style"", ""soft pastel style"", ""tempera painting style"", ""fresco painting style"", ""encaustic painting style"", ""mixed media art style"", ""digital painting style"", ""matte painting style"", ""conceptual art style"", ""editorial illustration style"", ""storybook illustration style"", ""graphic poster style"", ""mural painting style"", ""sketchbook drawing style"", ""continuous line drawing style"", ""stippled drawing style"", ""crosshatched drawing style"", ""impasto painting style"", ""glazed painting style"", ""scumbled painting style"", ""wet on wet painting style"", ""dry brush painting style"", ""palette knife painting style"", ""loose brushwork style"", ""precise brushwork style"", ""luminous color style"", ""earth tone palette style"", ""monochromatic palette style"", ""complementary color palette style"", ""analogous color palette style"", ""warm color palette style"", ""cool color palette style"", ""saturated color palette style"", ""desaturated color palette style"", ""atmospheric perspective style"", ""linear perspective style"", ""flat perspective style"", ""deep spatial composition style"", ""shallow spatial composition style"", ""balanced composition style"", ""asymmetrical composition style"", ""central composition style"", ""dynamic diagonal composition style"", ""layered composition style"", ""open composition style"", ""dramatic lighting style"", ""diffused lighting style"", ""backlit painting style"", ""chiaroscuro lighting style"", ""soft shadow painting style"", ""hard edged painting style"", ""soft edged painting style"", ""finely detailed painting style"", ""simplified form style"", ""decorative pattern style"", ""narrative painting style"", ""symbolic painting style"", ""dreamlike painting style"", ""naturalistic painting style"", ""highly stylized painting style"", ""experimental art style"", ""handcrafted art style"", ""museum painting style"", ""gallery art style"", ""timeless painting style""]",100,100,100,100,V,0,0.3,1.0,1,30,29.47792689005534,172.82352186870884,4,120,27.67750422159831,132.8619816963366,100,26.19553017616272,51.751573916283576
picasso,style,Picasso,1,original,,,,,,,,,,,,1,30,27.991472880045574,0.0,4,120,28.268152475357056,0.0,100,26.373212575912476,0.0
picasso,style,Picasso,1,legacy,legacy,art,,,,,,V,10,0.1,1.0,1,30,25.675137837727863,208.5682429151916,4,120,28.227766752243042,41.54196030746091,100,26.105235815048218,44.09653164617782
picasso,style,Picasso,1,target_global_pairwise_residual_subspace,target_global_pairwise_residual_subspace,art,"[""art"", ""art style"", ""painting style"", ""visual art style"", ""fine art style"", ""traditional art style"", ""contemporary art style"", ""classical painting style"", ""modern painting style"", ""expressive painting style"", ""abstract art style"", ""figurative art style"", ""painterly art style"", ""illustrative art style"", ""impressionistic painting style"", ""post-impressionistic painting style"", ""expressionist painting style"", ""realist painting style"", ""romantic painting style"", ""minimalist art style"", ""maximalist art style"", ""textured painting style"", ""bold brushwork style"", ""delicate brushwork style"", ""vibrant color palette style"", ""muted color palette style"", ""high contrast painting style"", ""soft tonal painting style"", ""geometric composition style"", ""organic composition style"", ""watercolor wash style"", ""oil paint texture style"", ""acrylic painting style"", ""gouache painting style"", ""ink wash painting style"", ""charcoal drawing style"", ""soft pastel style"", ""tempera painting style"", ""fresco painting style"", ""encaustic painting style"", ""mixed media art style"", ""digital painting style"", ""matte painting style"", ""conceptual art style"", ""editorial illustration style"", ""storybook illustration style"", ""graphic poster style"", ""mural painting style"", ""sketchbook drawing style"", ""continuous line drawing style"", ""stippled drawing style"", ""crosshatched drawing style"", ""impasto painting style"", ""glazed painting style"", ""scumbled painting style"", ""wet on wet painting style"", ""dry brush painting style"", ""palette knife painting style"", ""loose brushwork style"", ""precise brushwork style"", ""luminous color style"", ""earth tone palette style"", ""monochromatic palette style"", ""complementary color palette style"", ""analogous color palette style"", ""warm color palette style"", ""cool color palette style"", ""saturated color palette style"", ""desaturated color palette style"", ""atmospheric perspective style"", ""linear perspective style"", ""flat perspective style"", ""deep spatial composition style"", ""shallow spatial composition style"", ""balanced composition style"", ""asymmetrical composition style"", ""central composition style"", ""dynamic diagonal composition style"", ""layered composition style"", ""open composition style"", ""dramatic lighting style"", ""diffused lighting style"", ""backlit painting style"", ""chiaroscuro lighting style"", ""soft shadow painting style"", ""hard edged painting style"", ""soft edged painting style"", ""finely detailed painting style"", ""simplified form style"", ""decorative pattern style"", ""narrative painting style"", ""symbolic painting style"", ""dreamlike painting style"", ""naturalistic painting style"", ""highly stylized painting style"", ""experimental art style"", ""handcrafted art style"", ""museum painting style"", ""gallery art style"", ""timeless painting style""]",100,100,100,100,V,0,0.3,1.0,1,30,26.85019810994466,220.55665003787442,4,120,28.40322216351827,117.44003786878778,100,26.45231342315674,51.184142333831346
monet,style,Monet,1,original,,,,,,,,,,,,1,30,28.726832071940105,0.0,4,120,28.084312677383423,0.0,100,26.373212575912476,0.0
monet,style,Monet,1,legacy,legacy,art,,,,,,V,10,0.1,1.0,1,30,24.16420618693034,239.66722426843236,4,120,28.107929229736328,64.09413652730697,100,25.985691785812378,50.610809272527376
monet,style,Monet,1,target_global_pairwise_residual_subspace,target_global_pairwise_residual_subspace,art,"[""art"", ""art style"", ""painting style"", ""visual art style"", ""fine art style"", ""traditional art style"", ""contemporary art style"", ""classical painting style"", ""modern painting style"", ""expressive painting style"", ""abstract art style"", ""figurative art style"", ""painterly art style"", ""illustrative art style"", ""impressionistic painting style"", ""post-impressionistic painting style"", ""expressionist painting style"", ""realist painting style"", ""romantic painting style"", ""minimalist art style"", ""maximalist art style"", ""textured painting style"", ""bold brushwork style"", ""delicate brushwork style"", ""vibrant color palette style"", ""muted color palette style"", ""high contrast painting style"", ""soft tonal painting style"", ""geometric composition style"", ""organic composition style"", ""watercolor wash style"", ""oil paint texture style"", ""acrylic painting style"", ""gouache painting style"", ""ink wash painting style"", ""charcoal drawing style"", ""soft pastel style"", ""tempera painting style"", ""fresco painting style"", ""encaustic painting style"", ""mixed media art style"", ""digital painting style"", ""matte painting style"", ""conceptual art style"", ""editorial illustration style"", ""storybook illustration style"", ""graphic poster style"", ""mural painting style"", ""sketchbook drawing style"", ""continuous line drawing style"", ""stippled drawing style"", ""crosshatched drawing style"", ""impasto painting style"", ""glazed painting style"", ""scumbled painting style"", ""wet on wet painting style"", ""dry brush painting style"", ""palette knife painting style"", ""loose brushwork style"", ""precise brushwork style"", ""luminous color style"", ""earth tone palette style"", ""monochromatic palette style"", ""complementary color palette style"", ""analogous color palette style"", ""warm color palette style"", ""cool color palette style"", ""saturated color palette style"", ""desaturated color palette style"", ""atmospheric perspective style"", ""linear perspective style"", ""flat perspective style"", ""deep spatial composition style"", ""shallow spatial composition style"", ""balanced composition style"", ""asymmetrical composition style"", ""central composition style"", ""dynamic diagonal composition style"", ""layered composition style"", ""open composition style"", ""dramatic lighting style"", ""diffused lighting style"", ""backlit painting style"", ""chiaroscuro lighting style"", ""soft shadow painting style"", ""hard edged painting style"", ""soft edged painting style"", ""finely detailed painting style"", ""simplified form style"", ""decorative pattern style"", ""narrative painting style"", ""symbolic painting style"", ""dreamlike painting style"", ""naturalistic painting style"", ""highly stylized painting style"", ""experimental art style"", ""handcrafted art style"", ""museum painting style"", ""gallery art style"", ""timeless painting style""]",100,100,100,100,V,0,0.3,1.0,1,30,26.8710454305013,160.66075081607343,4,120,27.628337542215984,150.54995457091897,100,26.39090919494629,58.39763068205502
