task_id,erase_type,target_concepts,target_count,legacy_aug_num,tgprs_aug_num,tgprs_configured_residual_rank,tgprs_applied_residual_rank,tgprs_subspace_anchor_concepts,tgprs_subspace_anchor_count,original_target_clip_score,legacy_target_clip_score,tgprs_target_clip_score,target_clip_score_improvement,legacy_non_target_fid,tgprs_non_target_fid,non_target_fid_improvement,original_mscoco_clip_score,legacy_mscoco_clip_score,tgprs_mscoco_clip_score,mscoco_clip_score_improvement,legacy_mscoco_fid,tgprs_mscoco_fid,mscoco_fid_improvement
van_gogh,style,Van Gogh,1,10,0,30,30,"[""art"", ""art style"", ""painting style"", ""visual art style"", ""fine art style"", ""traditional art style"", ""contemporary art style"", ""classical painting style"", ""modern painting style"", ""expressive painting style"", ""abstract art style"", ""figurative art style"", ""painterly art style"", ""illustrative art style"", ""impressionistic painting style"", ""post-impressionistic painting style"", ""expressionist painting style"", ""realist painting style"", ""romantic painting style"", ""minimalist art style"", ""maximalist art style"", ""textured painting style"", ""bold brushwork style"", ""delicate brushwork style"", ""vibrant color palette style"", ""muted color palette style"", ""high contrast painting style"", ""soft tonal painting style"", ""geometric composition style"", ""organic composition style""]",30,28.71029535929362,25.273125966389973,29.3271001180013,-4.053974151611328,42.31293314660341,128.68363758214292,-86.37070443553951,26.373212575912476,26.40701162815094,26.476508378982544,0.069496750831604,49.08776752536386,50.16096373291788,-1.0731962075540196
picasso,style,Picasso,1,10,0,30,30,"[""art"", ""art style"", ""painting style"", ""visual art style"", ""fine art style"", ""traditional art style"", ""contemporary art style"", ""classical painting style"", ""modern painting style"", ""expressive painting style"", ""abstract art style"", ""figurative art style"", ""painterly art style"", ""illustrative art style"", ""impressionistic painting style"", ""post-impressionistic painting style"", ""expressionist painting style"", ""realist painting style"", ""romantic painting style"", ""minimalist art style"", ""maximalist art style"", ""textured painting style"", ""bold brushwork style"", ""delicate brushwork style"", ""vibrant color palette style"", ""muted color palette style"", ""high contrast painting style"", ""soft tonal painting style"", ""geometric composition style"", ""organic composition style""]",30,27.991472880045574,25.675137837727863,26.46950085957845,-0.7943630218505859,41.54196030746091,113.89570892415267,-72.35374861669176,26.373212575912476,26.105235815048218,26.505333185195923,0.4000973701477051,44.09653164617782,52.64003872876549,-8.543507082587666
monet,style,Monet,1,10,0,30,30,"[""art"", ""art style"", ""painting style"", ""visual art style"", ""fine art style"", ""traditional art style"", ""contemporary art style"", ""classical painting style"", ""modern painting style"", ""expressive painting style"", ""abstract art style"", ""figurative art style"", ""painterly art style"", ""illustrative art style"", ""impressionistic painting style"", ""post-impressionistic painting style"", ""expressionist painting style"", ""realist painting style"", ""romantic painting style"", ""minimalist art style"", ""maximalist art style"", ""textured painting style"", ""bold brushwork style"", ""delicate brushwork style"", ""vibrant color palette style"", ""muted color palette style"", ""high contrast painting style"", ""soft tonal painting style"", ""geometric composition style"", ""organic composition style""]",30,28.726832071940105,24.16420618693034,27.172101338704426,-3.007895151774086,64.09413652730697,145.63444546032534,-81.54030893301837,26.373212575912476,25.985691785812378,26.14744281768799,0.16175103187561035,50.610809272527376,58.31876831373904,-7.707959041211666
