task_id,erase_type,target_concepts,target_count,model,anchor_mode,anchor_concepts,subspace_anchor_concepts,subspace_anchor_count,configured_residual_rank,applied_residual_rank,target_global_residual_count,params,aug_num,threshold,retain_scale,target_n_contents,target_n_images,target_clip_score_mean,target_fid_mean,non_target_n_contents,non_target_n_images,non_target_clip_score_mean,non_target_fid_mean,mscoco_n_images,mscoco_clip_score,mscoco_fid_vs_original
van_gogh,style,Van Gogh,1,original,,,,,,,,,,,,1,30,28.71029535929362,0.0,4,120,28.088446855545044,0.0,100,26.373212575912476,0.0
van_gogh,style,Van Gogh,1,legacy,legacy,art,,,,,,V,10,0.1,1.0,1,30,25.273125966389973,237.36849101563064,4,120,28.170830408732098,42.31293314660341,100,26.40701162815094,49.08776752536386
van_gogh,style,Van Gogh,1,target_global_pairwise_residual_subspace,target_global_pairwise_residual_subspace,art,"[""art"", ""abstract art"", ""painting"", ""visual art"", ""fine art""]",5,5,5,5,V,0,0.3,1.0,1,30,25.795106887817383,275.7428476347573,4,120,28.13209374745687,58.848898918530665,100,26.10508680343628,46.097380189762646
picasso,style,Picasso,1,original,,,,,,,,,,,,1,30,27.991472880045574,0.0,4,120,28.268152475357056,0.0,100,26.373212575912476,0.0
picasso,style,Picasso,1,legacy,legacy,art,,,,,,V,10,0.1,1.0,1,30,25.675137837727863,208.5682429151916,4,120,28.227766752243042,41.54196030746091,100,26.105235815048218,44.09653164617782
picasso,style,Picasso,1,target_global_pairwise_residual_subspace,target_global_pairwise_residual_subspace,art,"[""art"", ""abstract art"", ""painting"", ""visual art"", ""fine art""]",5,5,5,5,V,0,0.3,1.0,1,30,25.72473684946696,241.68442578336584,4,120,28.304978211720787,44.48517956574635,100,26.390304803848267,51.317742239582685
monet,style,Monet,1,original,,,,,,,,,,,,1,30,28.726832071940105,0.0,4,120,28.084312677383423,0.0,100,26.373212575912476,0.0
monet,style,Monet,1,legacy,legacy,art,,,,,,V,10,0.1,1.0,1,30,24.16420618693034,239.66722426843236,4,120,28.107929229736328,64.09413652730697,100,25.985691785812378,50.610809272527376
monet,style,Monet,1,target_global_pairwise_residual_subspace,target_global_pairwise_residual_subspace,art,"[""art"", ""abstract art"", ""painting"", ""visual art"", ""fine art""]",5,5,5,5,V,0,0.3,1.0,1,30,24.600168863932293,230.02088293565453,4,120,28.06602954864502,64.92825643130921,100,26.31014323234558,48.274884521917784
