task_id,erase_type,target_concepts,target_count,legacy_aug_num,tgprs_aug_num,tgprs_configured_residual_rank,tgprs_applied_residual_rank,tgprs_subspace_anchor_concepts,tgprs_subspace_anchor_count,original_target_clip_score,legacy_target_clip_score,tgprs_target_clip_score,target_clip_score_improvement,legacy_non_target_fid,tgprs_non_target_fid,non_target_fid_improvement,original_mscoco_clip_score,legacy_mscoco_clip_score,tgprs_mscoco_clip_score,mscoco_clip_score_improvement,legacy_mscoco_fid,tgprs_mscoco_fid,mscoco_fid_improvement
van_gogh,style,Van Gogh,1,10,10,30,30,"[""art"", ""abstract art"", ""painting"", ""visual art"", ""fine art"", ""traditional art"", ""contemporary art"", ""classical painting"", ""modern painting"", ""expressive painting"", ""figurative art"", ""painterly art"", ""illustrative art"", ""impressionistic painting"", ""post-impressionistic painting"", ""expressionist painting"", ""realist painting"", ""romantic painting"", ""minimalist art"", ""maximalist art"", ""textured painting"", ""bold brushwork"", ""delicate brushwork"", ""vibrant color palette"", ""muted color palette"", ""high contrast painting"", ""soft tonal painting"", ""geometric composition"", ""organic composition"", ""watercolor wash"", ""oil paint texture"", ""acrylic painting"", ""gouache painting"", ""ink wash painting"", ""charcoal drawing"", ""soft pastel"", ""tempera painting"", ""fresco painting"", ""encaustic painting"", ""mixed media art"", ""digital painting"", ""matte painting"", ""conceptual art"", ""editorial illustration"", ""storybook illustration"", ""graphic poster"", ""mural painting"", ""sketchbook drawing"", ""continuous line drawing"", ""stippled drawing"", ""crosshatched drawing"", ""impasto painting"", ""glazed painting"", ""scumbled painting"", ""wet on wet painting"", ""dry brush painting"", ""palette knife painting"", ""loose brushwork"", ""precise brushwork"", ""luminous color"", ""earth tone palette"", ""monochromatic palette"", ""complementary color palette"", ""analogous color palette"", ""warm color palette"", ""cool color palette"", ""saturated color palette"", ""desaturated color palette"", ""atmospheric perspective"", ""linear perspective"", ""flat perspective"", ""deep spatial composition"", ""shallow spatial composition"", ""balanced composition"", ""asymmetrical composition"", ""central composition"", ""dynamic diagonal composition"", ""layered composition"", ""open composition"", ""dramatic lighting"", ""diffused lighting"", ""backlit painting"", ""chiaroscuro lighting"", ""soft shadow painting"", ""hard edged painting"", ""soft edged painting"", ""finely detailed painting"", ""simplified form"", ""decorative pattern"", ""narrative painting"", ""symbolic painting"", ""dreamlike painting"", ""naturalistic painting"", ""highly stylized painting"", ""experimental art"", ""handcrafted art"", ""museum painting"", ""gallery art"", ""timeless painting"", ""representational art""]",100,28.71029535929362,25.273125966389973,24.331687291463215,0.9414386749267578,42.31293314660341,47.37182596945688,-5.0588928228534655,26.373212575912476,26.40701162815094,26.221123933792114,-0.18588769435882568,49.08776752536386,50.731894600621445,-1.644127075257586
picasso,style,Picasso,1,10,10,30,30,"[""art"", ""abstract art"", ""painting"", ""visual art"", ""fine art"", ""traditional art"", ""contemporary art"", ""classical painting"", ""modern painting"", ""expressive painting"", ""figurative art"", ""painterly art"", ""illustrative art"", ""impressionistic painting"", ""post-impressionistic painting"", ""expressionist painting"", ""realist painting"", ""romantic painting"", ""minimalist art"", ""maximalist art"", ""textured painting"", ""bold brushwork"", ""delicate brushwork"", ""vibrant color palette"", ""muted color palette"", ""high contrast painting"", ""soft tonal painting"", ""geometric composition"", ""organic composition"", ""watercolor wash"", ""oil paint texture"", ""acrylic painting"", ""gouache painting"", ""ink wash painting"", ""charcoal drawing"", ""soft pastel"", ""tempera painting"", ""fresco painting"", ""encaustic painting"", ""mixed media art"", ""digital painting"", ""matte painting"", ""conceptual art"", ""editorial illustration"", ""storybook illustration"", ""graphic poster"", ""mural painting"", ""sketchbook drawing"", ""continuous line drawing"", ""stippled drawing"", ""crosshatched drawing"", ""impasto painting"", ""glazed painting"", ""scumbled painting"", ""wet on wet painting"", ""dry brush painting"", ""palette knife painting"", ""loose brushwork"", ""precise brushwork"", ""luminous color"", ""earth tone palette"", ""monochromatic palette"", ""complementary color palette"", ""analogous color palette"", ""warm color palette"", ""cool color palette"", ""saturated color palette"", ""desaturated color palette"", ""atmospheric perspective"", ""linear perspective"", ""flat perspective"", ""deep spatial composition"", ""shallow spatial composition"", ""balanced composition"", ""asymmetrical composition"", ""central composition"", ""dynamic diagonal composition"", ""layered composition"", ""open composition"", ""dramatic lighting"", ""diffused lighting"", ""backlit painting"", ""chiaroscuro lighting"", ""soft shadow painting"", ""hard edged painting"", ""soft edged painting"", ""finely detailed painting"", ""simplified form"", ""decorative pattern"", ""narrative painting"", ""symbolic painting"", ""dreamlike painting"", ""naturalistic painting"", ""highly stylized painting"", ""experimental art"", ""handcrafted art"", ""museum painting"", ""gallery art"", ""timeless painting"", ""representational art""]",100,27.991472880045574,25.675137837727863,26.054337819417317,-0.3791999816894531,41.54196030746091,48.560896291096114,-7.0189359836352025,26.373212575912476,26.105235815048218,25.97266125679016,-0.13257455825805664,44.09653164617782,47.55563805759152,-3.4591064114137
monet,style,Monet,1,10,10,30,30,"[""art"", ""abstract art"", ""painting"", ""visual art"", ""fine art"", ""traditional art"", ""contemporary art"", ""classical painting"", ""modern painting"", ""expressive painting"", ""figurative art"", ""painterly art"", ""illustrative art"", ""impressionistic painting"", ""post-impressionistic painting"", ""expressionist painting"", ""realist painting"", ""romantic painting"", ""minimalist art"", ""maximalist art"", ""textured painting"", ""bold brushwork"", ""delicate brushwork"", ""vibrant color palette"", ""muted color palette"", ""high contrast painting"", ""soft tonal painting"", ""geometric composition"", ""organic composition"", ""watercolor wash"", ""oil paint texture"", ""acrylic painting"", ""gouache painting"", ""ink wash painting"", ""charcoal drawing"", ""soft pastel"", ""tempera painting"", ""fresco painting"", ""encaustic painting"", ""mixed media art"", ""digital painting"", ""matte painting"", ""conceptual art"", ""editorial illustration"", ""storybook illustration"", ""graphic poster"", ""mural painting"", ""sketchbook drawing"", ""continuous line drawing"", ""stippled drawing"", ""crosshatched drawing"", ""impasto painting"", ""glazed painting"", ""scumbled painting"", ""wet on wet painting"", ""dry brush painting"", ""palette knife painting"", ""loose brushwork"", ""precise brushwork"", ""luminous color"", ""earth tone palette"", ""monochromatic palette"", ""complementary color palette"", ""analogous color palette"", ""warm color palette"", ""cool color palette"", ""saturated color palette"", ""desaturated color palette"", ""atmospheric perspective"", ""linear perspective"", ""flat perspective"", ""deep spatial composition"", ""shallow spatial composition"", ""balanced composition"", ""asymmetrical composition"", ""central composition"", ""dynamic diagonal composition"", ""layered composition"", ""open composition"", ""dramatic lighting"", ""diffused lighting"", ""backlit painting"", ""chiaroscuro lighting"", ""soft shadow painting"", ""hard edged painting"", ""soft edged painting"", ""finely detailed painting"", ""simplified form"", ""decorative pattern"", ""narrative painting"", ""symbolic painting"", ""dreamlike painting"", ""naturalistic painting"", ""highly stylized painting"", ""experimental art"", ""handcrafted art"", ""museum painting"", ""gallery art"", ""timeless painting"", ""representational art""]",100,28.726832071940105,24.16420618693034,24.06729857126872,0.0969076156616211,64.09413652730697,66.08031690330378,-1.9861803759968097,26.373212575912476,25.985691785812378,26.492831707000732,0.5071399211883545,50.610809272527376,56.052687050874454,-5.441877778347077
