task_id,erase_type,target_concepts,target_count,legacy_aug_num,tgprs_aug_num,tgprs_configured_residual_rank,tgprs_applied_residual_rank,tgprs_subspace_anchor_concepts,tgprs_subspace_anchor_count,original_target_clip_score,legacy_target_clip_score,tgprs_target_clip_score,target_clip_score_improvement,legacy_non_target_fid,tgprs_non_target_fid,non_target_fid_improvement,original_mscoco_clip_score,legacy_mscoco_clip_score,tgprs_mscoco_clip_score,mscoco_clip_score_improvement,legacy_mscoco_fid,tgprs_mscoco_fid,mscoco_fid_improvement
van_gogh,style,Van Gogh,1,10,0,5,5,"["""", ""art"", ""abstract art"", ""painting"", ""visual art"", ""fine art"", ""traditional art"", ""contemporary art"", ""classical painting"", ""modern painting"", ""expressive painting"", ""figurative art"", ""painterly art"", ""illustrative art"", ""watercolor painting"", ""oil painting"", ""acrylic painting"", ""gouache painting"", ""ink wash painting"", ""charcoal drawing"", ""pastel drawing"", ""mixed media art"", ""digital painting"", ""textured painting"", ""bold brushwork"", ""delicate brushwork"", ""vibrant color palette"", ""muted color palette"", ""geometric composition"", ""organic composition""]",30,28.71029535929362,25.273125966389973,25.008185704549152,0.2649402618408203,42.31293314660341,58.931895752901696,-16.618962606298282,26.373212575912476,26.40701162815094,26.281818985939026,-0.12519264221191406,49.08776752536386,46.40897519509565,2.678792330268209
picasso,style,Picasso,1,10,0,5,5,"["""", ""art"", ""abstract art"", ""painting"", ""visual art"", ""fine art"", ""traditional art"", ""contemporary art"", ""classical painting"", ""modern painting"", ""expressive painting"", ""figurative art"", ""painterly art"", ""illustrative art"", ""watercolor painting"", ""oil painting"", ""acrylic painting"", ""gouache painting"", ""ink wash painting"", ""charcoal drawing"", ""pastel drawing"", ""mixed media art"", ""digital painting"", ""textured painting"", ""bold brushwork"", ""delicate brushwork"", ""vibrant color palette"", ""muted color palette"", ""geometric composition"", ""organic composition""]",30,27.991472880045574,25.675137837727863,25.733639399210613,-0.058501561482749764,41.54196030746091,45.79523952973831,-4.253279222277399,26.373212575912476,26.105235815048218,26.057620763778687,-0.04761505126953125,44.09653164617782,55.74712172578319,-11.650590079605365
monet,style,Monet,1,10,0,5,5,"["""", ""art"", ""abstract art"", ""painting"", ""visual art"", ""fine art"", ""traditional art"", ""contemporary art"", ""classical painting"", ""modern painting"", ""expressive painting"", ""figurative art"", ""painterly art"", ""illustrative art"", ""watercolor painting"", ""oil painting"", ""acrylic painting"", ""gouache painting"", ""ink wash painting"", ""charcoal drawing"", ""pastel drawing"", ""mixed media art"", ""digital painting"", ""textured painting"", ""bold brushwork"", ""delicate brushwork"", ""vibrant color palette"", ""muted color palette"", ""geometric composition"", ""organic composition""]",30,28.726832071940105,24.16420618693034,25.003382364908855,-0.8391761779785156,64.09413652730697,63.51620834919933,0.5779281781076406,26.373212575912476,25.985691785812378,26.272904992103577,0.28721320629119873,50.610809272527376,55.52124056137677,-4.910431288849395
