task_id,erase_type,target_concepts,target_count,legacy_aug_num,tgprs_aug_num,tgprs_configured_residual_rank,tgprs_applied_residual_rank,tgprs_subspace_anchor_concepts,tgprs_subspace_anchor_count,original_target_clip_score,legacy_target_clip_score,tgprs_target_clip_score,target_clip_score_improvement,legacy_non_target_fid,tgprs_non_target_fid,non_target_fid_improvement,original_mscoco_clip_score,legacy_mscoco_clip_score,tgprs_mscoco_clip_score,mscoco_clip_score_improvement,legacy_mscoco_fid,tgprs_mscoco_fid,mscoco_fid_improvement
van_gogh,style,Van Gogh,1,10,0,10,10,"["""", ""art"", ""abstract art"", ""painting"", ""visual art"", ""fine art"", ""traditional art"", ""contemporary art"", ""classical painting"", ""modern painting""]",10,28.71029535929362,25.273125966389973,26.068917910257976,-0.7957919438680037,42.31293314660341,61.228137218507555,-18.915204071904142,26.373212575912476,26.40701162815094,26.30487060546875,-0.10214102268218994,49.08776752536386,46.216634897887786,2.8711326274760722
picasso,style,Picasso,1,10,0,10,10,"["""", ""art"", ""abstract art"", ""painting"", ""visual art"", ""fine art"", ""traditional art"", ""contemporary art"", ""classical painting"", ""modern painting""]",10,27.991472880045574,25.675137837727863,25.833759307861328,-0.15862147013346473,41.54196030746091,46.03256604015617,-4.490605732695258,26.373212575912476,26.105235815048218,26.223245859146118,0.11801004409790039,44.09653164617782,51.23529026105683,-7.138758614879009
monet,style,Monet,1,10,0,10,10,"["""", ""art"", ""abstract art"", ""painting"", ""visual art"", ""fine art"", ""traditional art"", ""contemporary art"", ""classical painting"", ""modern painting""]",10,28.726832071940105,24.16420618693034,25.1296869913737,-0.9654808044433594,64.09413652730697,65.07524329193703,-0.9811067646300557,26.373212575912476,25.985691785812378,26.282498478889465,0.2968066930770874,50.610809272527376,48.36869740540703,2.242111867120343
