label,Adam Driver,Adriana Lima,Amber Heard,Amy Adams,Andrew Garfield,Angelina Jolie,Anjelica Huston,Anna Faris,Anna Kendrick,Anne Hathaway,Arnold Schwarzenegger,Barack Obama,Beth Behrs,Bill Clinton,Bob Dylan,Bob Marley,Bradley Cooper,Bruce Willis,Bryan Cranston,Cameron Diaz,Channing Tatum,Charlie Sheen,Charlize Theron,Chris Evans,Chris Hemsworth,Chris Pine,Chuck Norris,Courteney Cox,Demi Lovato,Drake,Drew Barrymore,Dwayne Johnson,Ed Sheeran,Elon Musk,Elvis Presley,Emma Stone,Frida Kahlo,George Clooney,Glenn Close,Gwyneth Paltrow,Harrison Ford,Hillary Clinton,Hugh Jackman,Idris Elba,Jake Gyllenhaal,James Franco,Jared Leto,Jason Momoa,Jennifer Aniston,Jennifer Lawrence,person,<empty>
Adam Driver,0.9999998211860657,0.29703617095947266,0.28160935640335083,0.31359341740608215,0.4116465151309967,0.36047250032424927,0.39542466402053833,0.18736951053142548,0.3595527708530426,0.4346299469470978,0.326799601316452,0.2699351906776428,0.29777753353118896,0.2689046263694763,0.3254815340042114,0.29893168807029724,0.39153918623924255,0.333691269159317,0.32045799493789673,0.29149624705314636,0.34827473759651184,0.24607014656066895,0.22337853908538818,0.3764461874961853,0.36311912536621094,0.257625013589859,0.2936783730983734,0.2678733766078949,0.3435453176498413,0.29192793369293213,0.24738189578056335,0.37590861320495605,0.36704209446907043,0.30234676599502563,0.2634981870651245,0.2792205214500427,0.26151204109191895,0.2977485656738281,0.3013904094696045,0.273227334022522,0.445415735244751,0.24226810038089752,0.3742554187774658,0.360129714012146,0.2959766387939453,0.44835609197616577,0.37863367795944214,0.39030492305755615,0.30580800771713257,0.3472186326980591,0.15083211660385132,0.13872569799423218
Adriana Lima,0.29703617095947266,0.9999998807907104,0.3199472725391388,0.3119393587112427,0.18415041267871857,0.45954430103302,0.2516920864582062,0.21602296829223633,0.34304937720298767,0.3492862582206726,0.28847962617874146,0.1671513319015503,0.20316562056541443,0.17667220532894135,0.16951961815357208,0.14793570339679718,0.2520602345466614,0.21028263866901398,0.19394451379776,0.38790491223335266,0.32750070095062256,0.13206839561462402,0.3466402292251587,0.15935125946998596,0.2750225067138672,0.18547630310058594,0.19304724037647247,0.30223819613456726,0.252098023891449,0.17564666271209717,0.2361384481191635,0.2649638056755066,0.22178922593593597,0.2287863790988922,0.19236081838607788,0.2498585730791092,0.29204362630844116,0.2265079915523529,0.2625894248485565,0.2822221517562866,0.1893622875213623,0.15646761655807495,0.22986438870429993,0.21359342336654663,0.19841548800468445,0.24788609147071838,0.29151448607444763,0.28965312242507935,0.29077523946762085,0.26829993724823,0.11500415205955505,0.04636906087398529
Amber Heard,0.28160935640335083,0.3199472725391388,1.0,0.39553171396255493,0.30931663513183594,0.38162466883659363,0.33283287286758423,0.1873922199010849,0.34709903597831726,0.34286004304885864,0.3156718909740448,0.1656099259853363,0.28359097242355347,0.2446453869342804,0.2808820605278015,0.25815635919570923,0.23156505823135376,0.2421819269657135,0.25768887996673584,0.364572674036026,0.22385573387145996,0.23714086413383484,0.24756647646427155,0.24148979783058167,0.38631999492645264,0.34106430411338806,0.23847906291484833,0.2524426579475403,0.26269862055778503,0.14392343163490295,0.3563425540924072,0.21081411838531494,0.204344242811203,0.3377048969268799,0.27499690651893616,0.33559417724609375,0.25614774227142334,0.3209080100059509,0.266501247882843,0.38988861441612244,0.22699014842510223,0.26049619913101196,0.2653430104255676,0.2899932563304901,0.24748532474040985,0.3112100064754486,0.29140251874923706,0.30050423741340637,0.3018340468406677,0.2654213309288025,0.19663837552070618,0.10928574204444885
Amy Adams,0.31359341740608215,0.3119393587112427,0.39553171396255493,0.9999999403953552,0.2888362407684326,0.3551216721534729,0.22908666729927063,0.31889963150024414,0.51833176612854,0.38483887910842896,0.31740644574165344,0.24747712910175323,0.26458609104156494,0.23416340351104736,0.2610127031803131,0.23243609070777893,0.27816683053970337,0.34352296590805054,0.32548630237579346,0.2800552546977997,0.3332914710044861,0.2197239249944687,0.304148405790329,0.32801878452301025,0.2425820380449295,0.31336119771003723,0.3257482945919037,0.32730767130851746,0.2827797830104828,0.2614614963531494,0.3659873604774475,0.2793988585472107,0.29864439368247986,0.27926602959632874,0.26028668880462646,0.3720128536224365,0.2753615975379944,0.27075958251953125,0.3097795248031616,0.40407198667526245,0.2432042360305786,0.2480977177619934,0.30607903003692627,0.3229547142982483,0.3700910806655884,0.26430192589759827,0.2947421073913574,0.25130021572113037,0.37487074732780457,0.2658480107784271,0.14552387595176697,0.0835714340209961
Andrew Garfield,0.4116465151309967,0.18415041267871857,0.30931663513183594,0.2888362407684326,0.9999997615814209,0.3293377161026001,0.3106229305267334,0.2493988573551178,0.35135558247566223,0.48952895402908325,0.3403928279876709,0.26493504643440247,0.31810009479522705,0.2875761389732361,0.2565954625606537,0.26702916622161865,0.44920170307159424,0.3289431631565094,0.3625316023826599,0.31601881980895996,0.3019423484802246,0.3226621747016907,0.0981629490852356,0.4526005685329437,0.447618305683136,0.40155959129333496,0.29023146629333496,0.24042603373527527,0.29653680324554443,0.28199321031570435,0.26952314376831055,0.28233063220977783,0.3603751063346863,0.2674562335014343,0.22320860624313354,0.41752785444259644,0.2764953374862671,0.38003671169281006,0.2858370840549469,0.3297540545463562,0.42841029167175293,0.2718624174594879,0.4146144390106201,0.3025868535041809,0.29586201906204224,0.42501720786094666,0.32099851965904236,0.2938612699508667,0.34543901681900024,0.3694819211959839,0.13433021306991577,0.2051302045583725
Angelina Jolie,0.36047250032424927,0.45954430103302,0.38162466883659363,0.3551216721534729,0.3293377161026001,1.0,0.4304530620574951,0.2505398392677307,0.3418401777744293,0.4617046117782593,0.4637972116470337,0.2905832529067993,0.2108173668384552,0.32392191886901855,0.35286763310432434,0.31456804275512695,0.38628536462783813,0.3172247111797333,0.31240934133529663,0.4040147662162781,0.38619518280029297,0.28962159156799316,0.3263424336910248,0.24920231103897095,0.33832988142967224,0.24646948277950287,0.27565884590148926,0.4330483376979828,0.393890917301178,0.2344503104686737,0.3341374099254608,0.3969784677028656,0.306774377822876,0.37890928983688354,0.391170471906662,0.37218594551086426,0.29010772705078125,0.4175794720649719,0.3128192722797394,0.3798772394657135,0.2894395589828491,0.34381574392318726,0.3876853585243225,0.30504971742630005,0.2508123517036438,0.43472951650619507,0.42233774065971375,0.38762032985687256,0.443899929523468,0.4107958674430847,0.1893681138753891,0.2283858358860016
Anjelica Huston,0.39542466402053833,0.2516920864582062,0.33283287286758423,0.22908666729927063,0.3106229305267334,0.4304530620574951,0.9999998807907104,0.26379069685935974,0.3264281749725342,0.43201786279678345,0.37997299432754517,0.2276311069726944,0.37549954652786255,0.27920565009117126,0.2842436730861664,0.243387371301651,0.30548474192619324,0.39301609992980957,0.3596037030220032,0.37670329213142395,0.27469533681869507,0.3103618919849396,0.19748246669769287,0.21220844984054565,0.367210328578949,0.2556688189506531,0.34533846378326416,0.35008323192596436,0.3189370334148407,0.1780272126197815,0.3011811077594757,0.3318174183368683,0.25125783681869507,0.28077206015586853,0.24026405811309814,0.3092567026615143,0.23878434300422668,0.3380858302116394,0.38341856002807617,0.3814243674278259,0.3616732060909271,0.3163025379180908,0.38049954175949097,0.3737729787826538,0.27052250504493713,0.38318467140197754,0.32749995589256287,0.34191474318504333,0.36878183484077454,0.3250412344932556,0.19108247756958008,0.15374009311199188
Anna Faris,0.18736951053142548,0.21602296829223633,0.1873922199010849,0.31889963150024414,0.2493988573551178,0.2505398392677307,0.26379069685935974,0.9999998807907104,0.36011651158332825,0.31663963198661804,0.1704995334148407,0.16880692541599274,0.38326090574264526,0.11473174393177032,0.12176328152418137,0.10619311034679413,0.2340933382511139,0.2304452359676361,0.24889567494392395,0.30500084161758423,0.20367775857448578,0.17186884582042694,0.41289976239204407,0.2308829426765442,0.25187790393829346,0.19086042046546936,0.22275494039058685,0.2830098271369934,0.1317443549633026,0.13698457181453705,0.3215484023094177,0.15979060530662537,0.13402396440505981,0.21851682662963867,0.15174038708209991,0.3612971901893616,0.1794690489768982,0.2114618718624115,0.1530858278274536,0.3481539487838745,0.21823908388614655,0.13381223380565643,0.1635710895061493,0.281825989484787,0.38485798239707947,0.27923980355262756,0.21556878089904785,0.11931316554546356,0.2834187150001526,0.21408851444721222,0.18957144021987915,-0.012638939544558525
Anna Kendrick,0.3595527708530426,0.34304937720298767,0.34709903597831726,0.51833176612854,0.35135558247566223,0.3418401777744293,0.3264281749725342,0.36011651158332825,0.9999998807907104,0.49762940406799316,0.31280630826950073,0.2836494445800781,0.32442885637283325,0.2885242998600006,0.3070272207260132,0.2869493067264557,0.29586508870124817,0.3119737505912781,0.2907732129096985,0.31726154685020447,0.29485461115837097,0.20332500338554382,0.1821964681148529,0.2939526438713074,0.2957345247268677,0.2731660306453705,0.2751520276069641,0.2612716257572174,0.3908839523792267,0.30697450041770935,0.3504292070865631,0.32061195373535156,0.321593701839447,0.28461509943008423,0.26369157433509827,0.4486158490180969,0.2361050695180893,0.3309578001499176,0.2011052370071411,0.37480053305625916,0.3188575208187103,0.2686351239681244,0.27559617161750793,0.31155431270599365,0.3316623866558075,0.33422133326530457,0.27529770135879517,0.25204724073410034,0.40076664090156555,0.35766059160232544,0.15630994737148285,0.21745845675468445
Anne Hathaway,0.4346299469470978,0.3492862582206726,0.34286004304885864,0.38483887910842896,0.48952895402908325,0.4617046117782593,0.43201786279678345,0.31663963198661804,0.49762940406799316,1.0,0.3445151448249817,0.20216280221939087,0.3649389147758484,0.2801927626132965,0.24884675443172455,0.2516666054725647,0.3609505295753479,0.38739708065986633,0.33418208360671997,0.3410376012325287,0.33437681198120117,0.2793245315551758,0.2665708661079407,0.32447850704193115,0.3664093613624573,0.3260546326637268,0.28917503356933594,0.3624880909919739,0.3507009744644165,0.22743266820907593,0.3640241324901581,0.33699265122413635,0.3494921326637268,0.2896813154220581,0.23468519747257233,0.48430386185646057,0.30382269620895386,0.36881503462791443,0.26045966148376465,0.3762494921684265,0.2423270344734192,0.30581849813461304,0.44585034251213074,0.3352353572845459,0.26131772994995117,0.351408451795578,0.3041066527366638,0.26697415113449097,0.3262708783149719,0.3608238101005554,0.1489468812942505,0.249640554189682
