space_index,space_name,target_target_count,target_target_cosine_mean,target_target_cosine_std,target_target_cosine_min,target_target_cosine_max,target_person_count,target_person_cosine_mean,target_person_cosine_std,target_person_cosine_min,target_person_cosine_max,target_empty_count,target_empty_cosine_mean,target_empty_cosine_std,target_empty_cosine_min,target_empty_cosine_max,person_empty_count,person_empty_cosine_mean,person_empty_cosine_std,person_empty_cosine_min,person_empty_cosine_max,target_correlation_to_embedding,target_rmse_from_embedding,target_norm_mean,target_norm_std,target_norm_min,target_norm_max,person_norm,empty_norm
-1,embedding,1225,0.30877575333629337,0.07421425936937301,0.06830069422721863,0.6006028652191162,50,0.15991325184702873,0.03725498319594402,0.09246110171079636,0.2270437777042389,50,0.18762287195771932,0.10079890887132517,-0.133022278547287,0.4018498957157135,1,-0.08501078933477402,0.0,-0.08501078933477402,-0.08501078933477402,1.0,0.0,28.339803771972655,0.4627433809755312,27.485464096069336,29.957361221313477,27.971548080444336,43.82034683227539
0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight,1225,0.5989386375582948,0.07342862708251074,0.3294409513473511,0.7759291529655457,50,0.5843982195854187,0.03912655723758763,0.48234421014785767,0.662169337272644,50,-0.23366065919399262,0.03317808561301332,-0.2925471067428589,-0.17100459337234497,1,-0.28829920291900635,0.0,-0.28829920291900635,-0.28829920291900635,0.720856907864789,0.29535989893894576,12.431066665649414,0.6585654679644293,10.984910011291504,14.376543998718262,14.7176513671875,1.5712387561798096
1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,1225,0.7729279078512775,0.058376427752588944,0.44716882705688477,0.8784918189048767,50,0.7503563046455384,0.04855890339328099,0.5322045087814331,0.818010687828064,50,-0.1379300056397915,0.04889768094586911,-0.24292922019958496,-0.029350895434617996,1,-0.18281124532222748,0.0,-0.18281124532222748,-0.18281124532222748,0.6831133507842291,0.46736901444334045,11.108577537536622,0.7259279004696061,9.205157279968262,13.400245666503906,14.970090866088867,2.6156206130981445
2,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v.weight,1225,0.49565468848968036,0.07050736037813293,0.2509409189224243,0.7263927459716797,50,0.43759502828121183,0.04646496284667767,0.3477221131324768,0.5245528221130371,50,-0.06293118357658387,0.014526510488985282,-0.09095842391252518,-0.029431935399770737,1,-0.10813979804515839,0.0,-0.10813979804515839,-0.10813979804515839,0.7451425050989418,0.19391915435492377,17.025431365966796,0.7886618110608197,15.424625396728516,19.150463104248047,19.813411712646484,1.4681768417358398
3,down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v.weight,1225,0.6001088852541787,0.06297933429100634,0.35693249106407166,0.7790068984031677,50,0.5322888749837875,0.038698469750067035,0.4436090290546417,0.6227335929870605,50,-0.22491772204637528,0.02928693132714547,-0.2765679657459259,-0.14452509582042694,1,-0.2400185912847519,0.0,-0.2400185912847519,-0.2400185912847519,0.8206986560759741,0.29441011120712424,15.93390287399292,0.7755996756343122,14.357220649719238,18.524797439575195,18.724567413330078,1.4577995538711548
4,down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v.weight,1225,0.26880712826337133,0.07880216871714825,0.038973432034254074,0.5821003317832947,50,0.11941263444721699,0.04142988896060384,0.0337386280298233,0.2305273860692978,50,-0.14288028344511985,0.01765386957486247,-0.18537189066410065,-0.09855255484580994,1,-0.15463881194591522,0.0,-0.15463881194591522,-0.15463881194591522,0.8300187497573994,0.06005600516187818,27.5541019821167,1.0340939936196434,25.48690414428711,31.068405151367188,26.184537887573242,0.7742739915847778
5,down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v.weight,1225,0.25629697635465737,0.07944287372079081,0.05422462522983551,0.6008195877075195,50,0.1220534484833479,0.04302602486953911,0.039639316499233246,0.24396029114723206,50,-0.1929704225063324,0.019463270185350087,-0.23115910589694977,-0.14494487643241882,1,-0.21365177631378174,0.0,-0.21365177631378174,-0.21365177631378174,0.8250140475651603,0.06960404234525076,28.257592124938967,1.333088347995892,25.025005340576172,32.128456115722656,27.39068031311035,0.813497006893158
6,up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v.weight,1225,0.1995606812310158,0.08495488316000012,-0.021601494401693344,0.5778014659881592,50,0.04268777728546411,0.04465025588119755,-0.03994879126548767,0.13385185599327087,50,-0.09470846556127072,0.0169112872710185,-0.12700791656970978,-0.054757192730903625,1,-0.06867681443691254,0.0,-0.06867681443691254,-0.06867681443691254,0.8113930351865303,0.12008986384812158,34.72366821289062,1.9976821006218513,30.850017547607422,41.20880889892578,32.14918899536133,1.0621328353881836
7,up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v.weight,1225,0.13364502723898966,0.08267870520885372,-0.05500778555870056,0.5004950165748596,50,0.042435046480968595,0.05155316050826126,-0.07833351194858551,0.14634758234024048,50,0.09490508988499641,0.011347369008460098,0.06551701575517654,0.11736802011728287,1,0.11149104684591293,0.0,0.11149104684591293,0.11149104684591293,0.7643962987775798,0.1833949778061021,39.598318328857424,2.2614898617725365,34.41397476196289,45.87611389160156,38.01875686645508,5.1549553871154785
8,up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v.weight,1225,0.18584789975641333,0.07374460437060397,0.013303720392286777,0.5875093936920166,50,0.0759770249016583,0.047298624433342006,-0.009551678784191608,0.17516949772834778,50,0.12890735432505607,0.016605765656337496,0.10174128413200378,0.16804541647434235,1,0.13043317198753357,0.0,0.13043317198753357,0.13043317198753357,0.804217109735653,0.13135630396019987,36.03021198272705,2.161496880001683,31.98942756652832,43.414939880371094,35.490631103515625,5.267497539520264
