space_index,space_name,pair_type,left_index,left_label,right_index,right_label,cosine,angle_degrees
-1,embedding,target_target,1,Adriana Lima,9,Anne Hathaway,0.3492862582206726,69.55633430012439
-1,embedding,target_target,1,Adriana Lima,10,Arnold Schwarzenegger,0.28847962617874146,73.23304466490109
-1,embedding,target_target,1,Adriana Lima,11,Barack Obama,0.1671513319015503,80.37776741943286
-1,embedding,target_target,1,Adriana Lima,12,Beth Behrs,0.20316562056541443,78.27786274452512
-1,embedding,target_target,1,Adriana Lima,13,Bill Clinton,0.17667220532894135,79.8240151684436
-1,embedding,target_target,1,Adriana Lima,14,Bob Dylan,0.16951961815357208,80.24011017568105
-1,embedding,target_target,1,Adriana Lima,15,Bob Marley,0.14793570339679718,81.49268355217497
-1,embedding,target_target,1,Adriana Lima,16,Bradley Cooper,0.2520602345466614,75.40054019190303
-1,embedding,target_target,1,Adriana Lima,17,Bruce Willis,0.21028263866901398,77.86108389827646
-1,embedding,target_target,1,Adriana Lima,18,Bryan Cranston,0.19394451379776,78.81692837378826
-1,embedding,target_target,1,Adriana Lima,19,Cameron Diaz,0.38790491223335266,67.1758004155568
-1,embedding,target_target,1,Adriana Lima,20,Channing Tatum,0.32750070095062256,70.88285177205134
-1,embedding,target_target,1,Adriana Lima,21,Charlie Sheen,0.13206839561462402,82.41086662075688
-1,embedding,target_target,1,Adriana Lima,22,Charlize Theron,0.3466402292251587,69.71804634576627
-1,embedding,target_target,1,Adriana Lima,23,Chris Evans,0.15935125946998596,80.83075698180303
-1,embedding,target_target,1,Adriana Lima,24,Chris Hemsworth,0.2750225067138672,74.03664457990918
-1,embedding,target_target,1,Adriana Lima,25,Chris Pine,0.18547630310058594,79.3110968341846
-1,embedding,target_target,1,Adriana Lima,26,Chuck Norris,0.19304724037647247,78.86932866436031
-1,embedding,target_target,1,Adriana Lima,27,Courteney Cox,0.30223819613456726,72.40791591924811
-1,embedding,target_target,1,Adriana Lima,28,Demi Lovato,0.252098023891449,75.39830276796638
-1,embedding,target_target,1,Adriana Lima,29,Drake,0.17564666271209717,79.88370793145974
-1,embedding,target_target,1,Adriana Lima,30,Drew Barrymore,0.2361384481191635,76.34126011067
-1,embedding,target_target,1,Adriana Lima,31,Dwayne Johnson,0.2649638056755066,74.63519786310401
-1,embedding,target_target,1,Adriana Lima,32,Ed Sheeran,0.22178922593593597,77.1858553939124
-1,embedding,target_target,1,Adriana Lima,33,Elon Musk,0.2287863790988922,76.77436865477983
-1,embedding,target_target,1,Adriana Lima,34,Elvis Presley,0.19236081838607788,78.90940897647987
-1,embedding,target_target,1,Adriana Lima,35,Emma Stone,0.2498585730791092,75.53085656981834
-1,embedding,target_target,1,Adriana Lima,36,Frida Kahlo,0.29204362630844116,73.01965536931517
-1,embedding,target_target,1,Adriana Lima,37,George Clooney,0.2265079915523529,76.90843065439307
-1,embedding,target_target,1,Adriana Lima,38,Glenn Close,0.2625894248485565,74.77623490221117
-1,embedding,target_target,1,Adriana Lima,39,Gwyneth Paltrow,0.2822221517562866,73.60712545948232
-1,embedding,target_target,1,Adriana Lima,40,Harrison Ford,0.1893622875213623,79.08442962469677
-1,embedding,target_target,1,Adriana Lima,41,Hillary Clinton,0.15646761655807495,80.99807687604675
-1,embedding,target_target,1,Adriana Lima,42,Hugh Jackman,0.22986438870429993,76.71091212229638
