task_id,erase_type,target_concepts,target_count,model,anchor_mode,anchor_concepts,subspace_anchor_concepts,subspace_anchor_count,configured_residual_rank,applied_residual_rank,target_global_residual_count,params,aug_num,threshold,retain_scale,target_n_contents,target_n_images,target_clip_score_mean,target_fid_mean,non_target_n_contents,non_target_n_images,non_target_clip_score_mean,non_target_fid_mean,mscoco_n_images,mscoco_clip_score,mscoco_fid_vs_original
van_gogh,style,Van Gogh,1,original,,,,,,,,,,,,1,30,28.71029535929362,0.0,4,120,28.088446855545044,0.0,100,26.373212575912476,0.0
van_gogh,style,Van Gogh,1,legacy,legacy,art,,,,,,V,10,0.1,1.0,1,30,25.273125966389973,237.36849101563064,4,120,28.170830408732098,42.31293314660341,100,26.40701162815094,49.08776752536386
van_gogh,style,Van Gogh,1,target_global_pairwise_residual_subspace,target_global_pairwise_residual_subspace,art,"[""art"", ""abstract art"", ""painting"", ""visual art"", ""fine art"", ""traditional art"", ""contemporary art"", ""classical painting"", ""modern painting"", ""expressive painting"", ""figurative art"", ""painterly art"", ""illustrative art"", ""impressionistic painting"", ""post-impressionistic painting"", ""expressionist painting"", ""realist painting"", ""romantic painting"", ""minimalist art"", ""maximalist art"", ""textured painting"", ""bold brushwork"", ""delicate brushwork"", ""vibrant color palette"", ""muted color palette"", ""high contrast painting"", ""soft tonal painting"", ""geometric composition"", ""organic composition"", ""watercolor wash"", ""oil paint texture"", ""acrylic painting"", ""gouache painting"", ""ink wash painting"", ""charcoal drawing"", ""soft pastel"", ""tempera painting"", ""fresco painting"", ""encaustic painting"", ""mixed media art"", ""digital painting"", ""matte painting"", ""conceptual art"", ""editorial illustration"", ""storybook illustration"", ""graphic poster"", ""mural painting"", ""sketchbook drawing"", ""continuous line drawing"", ""stippled drawing"", ""crosshatched drawing"", ""impasto painting"", ""glazed painting"", ""scumbled painting"", ""wet on wet painting"", ""dry brush painting"", ""palette knife painting"", ""loose brushwork"", ""precise brushwork"", ""luminous color"", ""earth tone palette"", ""monochromatic palette"", ""complementary color palette"", ""analogous color palette"", ""warm color palette"", ""cool color palette"", ""saturated color palette"", ""desaturated color palette"", ""atmospheric perspective"", ""linear perspective"", ""flat perspective"", ""deep spatial composition"", ""shallow spatial composition"", ""balanced composition"", ""asymmetrical composition"", ""central composition"", ""dynamic diagonal composition"", ""layered composition"", ""open composition"", ""dramatic lighting"", ""diffused lighting"", ""backlit painting"", ""chiaroscuro lighting"", ""soft shadow painting"", ""hard edged painting"", ""soft edged painting"", ""finely detailed painting"", ""simplified form"", ""decorative pattern"", ""narrative painting"", ""symbolic painting"", ""dreamlike painting"", ""naturalistic painting"", ""highly stylized painting"", ""experimental art"", ""handcrafted art"", ""museum painting"", ""gallery art"", ""timeless painting"", ""representational art""]",100,10,10,100,V,0,0.1,1.0,1,30,25.437971750895183,286.22543249313753,4,120,28.094157775243122,89.03808492806616,100,26.39219355583191,62.83751279126602
picasso,style,Picasso,1,original,,,,,,,,,,,,1,30,27.991472880045574,0.0,4,120,28.268152475357056,0.0,100,26.373212575912476,0.0
picasso,style,Picasso,1,legacy,legacy,art,,,,,,V,10,0.1,1.0,1,30,25.675137837727863,208.5682429151916,4,120,28.227766752243042,41.54196030746091,100,26.105235815048218,44.09653164617782
picasso,style,Picasso,1,target_global_pairwise_residual_subspace,target_global_pairwise_residual_subspace,art,"[""art"", ""abstract art"", ""painting"", ""visual art"", ""fine art"", ""traditional art"", ""contemporary art"", ""classical painting"", ""modern painting"", ""expressive painting"", ""figurative art"", ""painterly art"", ""illustrative art"", ""impressionistic painting"", ""post-impressionistic painting"", ""expressionist painting"", ""realist painting"", ""romantic painting"", ""minimalist art"", ""maximalist art"", ""textured painting"", ""bold brushwork"", ""delicate brushwork"", ""vibrant color palette"", ""muted color palette"", ""high contrast painting"", ""soft tonal painting"", ""geometric composition"", ""organic composition"", ""watercolor wash"", ""oil paint texture"", ""acrylic painting"", ""gouache painting"", ""ink wash painting"", ""charcoal drawing"", ""soft pastel"", ""tempera painting"", ""fresco painting"", ""encaustic painting"", ""mixed media art"", ""digital painting"", ""matte painting"", ""conceptual art"", ""editorial illustration"", ""storybook illustration"", ""graphic poster"", ""mural painting"", ""sketchbook drawing"", ""continuous line drawing"", ""stippled drawing"", ""crosshatched drawing"", ""impasto painting"", ""glazed painting"", ""scumbled painting"", ""wet on wet painting"", ""dry brush painting"", ""palette knife painting"", ""loose brushwork"", ""precise brushwork"", ""luminous color"", ""earth tone palette"", ""monochromatic palette"", ""complementary color palette"", ""analogous color palette"", ""warm color palette"", ""cool color palette"", ""saturated color palette"", ""desaturated color palette"", ""atmospheric perspective"", ""linear perspective"", ""flat perspective"", ""deep spatial composition"", ""shallow spatial composition"", ""balanced composition"", ""asymmetrical composition"", ""central composition"", ""dynamic diagonal composition"", ""layered composition"", ""open composition"", ""dramatic lighting"", ""diffused lighting"", ""backlit painting"", ""chiaroscuro lighting"", ""soft shadow painting"", ""hard edged painting"", ""soft edged painting"", ""finely detailed painting"", ""simplified form"", ""decorative pattern"", ""narrative painting"", ""symbolic painting"", ""dreamlike painting"", ""naturalistic painting"", ""highly stylized painting"", ""experimental art"", ""handcrafted art"", ""museum painting"", ""gallery art"", ""timeless painting"", ""representational art""]",100,10,10,100,V,0,0.1,1.0,1,30,25.90679168701172,235.65792940610058,4,120,28.144948879877727,67.02270087863656,100,26.200059413909912,61.253717348150076
monet,style,Monet,1,original,,,,,,,,,,,,1,30,28.726832071940105,0.0,4,120,28.084312677383423,0.0,100,26.373212575912476,0.0
monet,style,Monet,1,legacy,legacy,art,,,,,,V,10,0.1,1.0,1,30,24.16420618693034,239.66722426843236,4,120,28.107929229736328,64.09413652730697,100,25.985691785812378,50.610809272527376
monet,style,Monet,1,target_global_pairwise_residual_subspace,target_global_pairwise_residual_subspace,art,"[""art"", ""abstract art"", ""painting"", ""visual art"", ""fine art"", ""traditional art"", ""contemporary art"", ""classical painting"", ""modern painting"", ""expressive painting"", ""figurative art"", ""painterly art"", ""illustrative art"", ""impressionistic painting"", ""post-impressionistic painting"", ""expressionist painting"", ""realist painting"", ""romantic painting"", ""minimalist art"", ""maximalist art"", ""textured painting"", ""bold brushwork"", ""delicate brushwork"", ""vibrant color palette"", ""muted color palette"", ""high contrast painting"", ""soft tonal painting"", ""geometric composition"", ""organic composition"", ""watercolor wash"", ""oil paint texture"", ""acrylic painting"", ""gouache painting"", ""ink wash painting"", ""charcoal drawing"", ""soft pastel"", ""tempera painting"", ""fresco painting"", ""encaustic painting"", ""mixed media art"", ""digital painting"", ""matte painting"", ""conceptual art"", ""editorial illustration"", ""storybook illustration"", ""graphic poster"", ""mural painting"", ""sketchbook drawing"", ""continuous line drawing"", ""stippled drawing"", ""crosshatched drawing"", ""impasto painting"", ""glazed painting"", ""scumbled painting"", ""wet on wet painting"", ""dry brush painting"", ""palette knife painting"", ""loose brushwork"", ""precise brushwork"", ""luminous color"", ""earth tone palette"", ""monochromatic palette"", ""complementary color palette"", ""analogous color palette"", ""warm color palette"", ""cool color palette"", ""saturated color palette"", ""desaturated color palette"", ""atmospheric perspective"", ""linear perspective"", ""flat perspective"", ""deep spatial composition"", ""shallow spatial composition"", ""balanced composition"", ""asymmetrical composition"", ""central composition"", ""dynamic diagonal composition"", ""layered composition"", ""open composition"", ""dramatic lighting"", ""diffused lighting"", ""backlit painting"", ""chiaroscuro lighting"", ""soft shadow painting"", ""hard edged painting"", ""soft edged painting"", ""finely detailed painting"", ""simplified form"", ""decorative pattern"", ""narrative painting"", ""symbolic painting"", ""dreamlike painting"", ""naturalistic painting"", ""highly stylized painting"", ""experimental art"", ""handcrafted art"", ""museum painting"", ""gallery art"", ""timeless painting"", ""representational art""]",100,10,10,100,V,0,0.1,1.0,1,30,24.967152277628582,203.07713945387374,4,120,27.928767601648968,95.68474601020748,100,26.211228847503662,68.76129505210969
